the-glenlee	The Glenlee	blend	GB-SCT			Aceo Spirits	blend	none			unverified	low	https://www.passionforwhisky.com/en/whisky/scotch-whisky/blended-whisky/40110-the-glenlee.html https://www.whiskymag.com/articles/aceo-spirits-releases-a-special-blend-to-celebrate-the-125th-birthday-of-the-tall-ship-glenlee/	Named for the historic Glasgow tall ship, NOT related to Glenlivet - verified as a distinct brand. 40% malt/60% grain blend by Aceo Spirits (parent of independent bottler Murray McDavid). No explicit peat statement; inferred unpeated from tasting notes (malty, honeyed, spiced oak, orange zest, vanilla, toffee) with no smoke mentioned
yamazakura	Yamazakura	blend	JP			Sasanokawa Shuzo	blend	none			unverified	low	https://www.masterofmalt.com/whiskies/yamazakura/yamazakura-blended-whisky/ https://www.thewhiskyexchange.com/p/36505/yamazakura-blended-whisky	Verified distinct from Yamazaki - made at Asaka Distillery by Sasanokawa Shuzo. Malt + grain blend. No explicit peat statement; inferred unpeated from tasting notes (orchard fruit, salted caramel, vanilla) with no smoke mentioned
ballantines-brasil	Ballantine's Brasil	blend	GB-SCT			Pernod Ricard		unknown			unverified	low	https://www.ballantines.com/en/range/ballantines-brasil/ https://www.masterofmalt.com/spirit/ballantines/ballantines-brasil-spirit/	A lime-infused, sweetened Scotch-based "spirit drink" (35% ABV, sugar + vanilla extract added) rather than a standard whisky - FLAG FOR HUMAN REVIEW of categorisation. Base Ballantine's blend is generally light/touch-of-smoke, but given the heavy flavouring/dilution here peat character is uncertain, left unknown rather than inherited
civitas	Civitas	distillery	MD			Chateau Cojușna		none			unverified	low	https://vinotecaromaneasca.ro/shop-2/whiskey-civitas-single-malt/ https://mediagalaxy.ro/whisky-civitas-0-7l/cpd/SPRSGRWSC/	Moldovan single malt (3-year, "Original Scottish Technology" claim) plus flavoured Honey/Apple variants, so defaultTypeName left empty. No smoke/peat mentioned in the thin, partly foreign-language sourcing available
flannigans	Flannigans	blend	IE				blend	none			unverified	low	https://www.masterofmalt.com/blog/post/peated-irish-whiskey-a-lost-tradition-reignited/	No brand-specific source found; "Irish Blend" per catalogue sample name. peatProfile=none is a category-level inference (unpeated is the entrenched default style of Irish whiskey per the cited source), not a brand-specific confirmation - flagged for review
green-spot	Green Spot	brand	IE			Mitchell & Son	single pot still	none	midleton		unverified	low	https://en.wikipedia.org/wiki/Green_Spot_(whiskey) https://mitchellandson.com/products/green-spot-whiskey-70cl	Single pot still Irish whiskey made at Midleton exclusively for Dublin merchant Mitchell & Son. No explicit "unpeated" statement for this specific bottling; inferred from Irish pot-still tradition, kept low confidence
midleton	Midleton	distillery	IE			Pernod Ricard		none			unverified	high	https://en.wikipedia.org/wiki/New_Midleton_Distillery https://en.wikipedia.org/wiki/Jameson_Irish_Whiskey	Added because Green Spot (this batch) references it via parentSlug. Home of Jameson, Redbreast, Powers, Green Spot, Midleton Very Rare; malted barley used there is explicitly unpeated. defaultTypeName left empty - produces blend, single pot still and single malt
jimsher	Jimsher	distillery	GE			Kartveli LLC		none			unverified	low	https://www.thespiritsbusiness.com/2026/05/sb-meets-jimsher-chkhaidze-jimsher-distillery/ https://jimsher.com/en/about-us/	First Georgian whisky, Kartveli Distillery (founder Jimsher Chkhaidze). "Tsinandali" in the catalogue sample name is a wine-cask finish (aged in ex-Tsinandali-wine barrels), not a separate product or a wine product - this is genuinely a whisky. No peat/smoke mentioned; matured in Georgian wine and brandy casks. defaultTypeName left empty - only one expression researched, described as "blended" but full range unconfirmed
lou-gal	Lou Gal	blend	FR					none			unverified	low	https://www.labellevie.com/produit/60354/whisky-francais-40-lou-gal-70-cl https://www.whiskybase.com/whiskies/whisky/217366/lou-gal-whisky-franais	French whisky from the Gers/Gascony region, barley malt. No smoke/peat mentioned in tasting notes (vanilla, dried fruit, almonds, hazelnuts, caramel, apricot)
moonshine-runners	Moonshine Runners	blend	US					unknown			unverified	unknown		No web presence found for this exact brand; American whiskey/moonshine style assumed from name only
old-rip-van-winkle	Old Rip Van Winkle	brand	US			Sazerac Company	bourbon	none	buffalo-trace		unverified	low	https://en.wikipedia.org/wiki/Old_Rip_Van_Winkle https://www.buffalotracedistillery.com/our-brands/van-winkle/old-rip-van-winkle-10-year/	Van Winkle family's wheated-bourbon brand, distilled/bottled by Sazerac at Buffalo Trace under a joint venture since 2002. No explicit peat statement found (sources covered ownership/history, not tasting notes); inferred unpeated from standard bourbon mashbill
buffalo-trace	Buffalo Trace	distillery	US			Sazerac Company		none			unverified	low	https://www.buffalotracedistillery.com/our-brands/van-winkle/	Added because Old Rip Van Winkle (this batch) references it via parentSlug. Produces both bourbon and rye so defaultTypeName left empty. No explicit peat statement found; inferred unpeated, standard American whiskey distillery
proper-no-twelve	Proper No. Twelve	blend	IE			Proximo Spirits	blend	none			unverified	low	https://chilledmagazine.com/conor-mcgregor-launches-proper-no-twelve-irish-whiskey/ https://www.ohlq.com/liquor/whiskey/irish/blend/proper-no-twelve-irish-whiskey	Blend of triple-distilled malt and grain whiskey, founded by Conor McGregor (Eire Born Spirits), now majority-owned by Proximo Spirits. No explicit peat statement; inferred unpeated from Irish tradition and tasting notes (vanilla, honey, toasted wood) with no smoke mentioned
royal-stag	Royal Stag	blend	IN			Pernod Ricard	blend	none			unverified	low	https://en.wikipedia.org/wiki/Royal_Stag https://www.pernod-ricard.com/en/brands/royal-stag	Catalogue brand string for this row is "Seagram's Gin" but the sample product is "Seagram's Royal Stag Deluxe" - an Indian whisky (blend of grain spirits + imported Scotch malts), not a gin; almost certainly a shop miscategorisation. Row created for the actual (whisky) product; exact "Seagram's Gin" catalogue string aliased here - FLAG FOR HUMAN REVIEW. No explicit peat statement; inferred unpeated
teerenpeli	Teerenpeli	distillery	FI				single malt	none			unverified	high	https://www.masterofmalt.com/distilleries/teerenpeli-whisky-distillery/ https://en.wikipedia.org/wiki/Teerenpeli	Core range unpeated; "Savu" ("smoke") is their distinct peated single malt (~5ppm, light) - see rule.tsv, not itself in this batch's samples
three-ships	Three Ships	blend	ZA			Distell		unknown			unverified	low	https://en.wikipedia.org/wiki/Three_Ships https://threeshipswhisky.co.za/about	Made at James Sedgwick Distillery, Wellington. Range spans blended and single malt so defaultTypeName left empty. No peat/smoke statement found in any source opened, left unknown rather than assumed
