sir-park	Sir Park	brand	FR			Distillerie Tessendier & Fils	single malt	none			unverified	high	https://gincorner.com.ua/viski/torgivelnaspmarka-sirsppark https://alcomag.ua/viski-sir-park-single-malt-0-7-l	Identified via two Ukrainian retail listings as "Sir Park Single Malt," France, produced by Distillerie Tessendier & Fils SAS -- the Cognac house behind Park Cognac (named for Scot Dominique Park), the already-live "Arlett" French whisky and Seven Yards Scotch Whisky. Not currently listed on Tessendier's own spirits page (distillerie-tessendier.com/spirits), so possibly an older or export-only line -- noted, not disqualifying. Kind corrected from blend to brand (single malt, not a multi-source blend). Confirms the seed's "Sir Edward's-style French naming pattern" guess, though from a different producer. No smoke/peat mentioned.
slipknot-9	Slipknot №9	blend	US			Cedar Ridge Distillery		none			unverified	high	https://slipknotwhiskey.com/	Confirmed via the official site: a licensed collaboration between the band Slipknot and Cedar Ridge Distillery (Iowa's first licensed distillery since Prohibition), a blend of straight rye and straight bourbon mashed/distilled/aged in Iowa. defaultTypeName left empty (spans rye and bourbon, no single closed-list value fits). No peat.
smokey-joe	Smokey Joe	blend	GB-SCT			Angus Dundee Distillers plc	malt	heavy			unverified	high	https://www.angusdundee.co.uk/products/angus-dundee-brands/85-smokey-joe	Corrected countryCode from XX to GB-SCT and peat from unknown to heavy. Confirmed via Angus Dundee's own official product page as an Islay Blended Malt Scotch Whisky (46% ABV) -- "rich aromas of fireside soot and coastal smokehouses," "exquisite balance of smoke and peppery spice." Satisfies both auto-gate corroboration paths (producer's own domain and Islay). Angus Dundee (owner of Tomintoul and Glencadam, neither on Islay) sources/blends the Islay malts for this line rather than distilling them itself.
smooth-ambler	Smooth Ambler	distillery	US			Pernod Ricard		none			unverified	high	https://www.pernod-ricard.com/en/brands/smooth-ambler	Confirmed via Pernod Ricard's own official brand page: West Virginia craft distillery (Greenbrier Valley), part of Pernod Ricard since 2016. Makes wheated and rye bourbons (Old Scout, Contradiction, Founders') -- range spans types so defaultTypeName stays empty. No peat (standard American whiskey); replaces the seed's generic Wikipedia citations with a direct owner confirmation.
spearhead	Spearhead	brand	GB-SCT			Loch Lomond Group	grain	none	loch-lomond		unverified	high	https://www.lochlomondwhiskies.com/products/spearhead-single-grain-scotch-whisky	Corrected countryCode from XX to GB-SCT and kind from blend to brand. Spearhead is an unconventional single grain Scotch whisky (100% malted barley through a Coffey still) from Loch Lomond Distillery, finished in toasted virgin oak barrels -- a single-distillery product, not a blend of multiple sources. No peat/smoke mentioned.
spice-king	Spice King	blend	GB-SCT				malt	unknown		wemyss-malts	unverified	high	https://scotchwhisky.com/whiskypedia/2822/spice-king/	Corrected the withheld peat proposal from "likely none" to "likely light": scotchwhisky.com confirms Spice King blends about 16 distillery characters including Islay malts that "impart a slightly salty and smoky finish," and independent reviews (drinkhacker.com, scotchnoob.com) agree there is a genuine, if subtle, peated component behind the dominant spice character. Kept peatProfile=unknown per the strict rule -- wemyssmalts.com could not be reached this session (SSL handshake failure), so no producer-domain confirmation of the positive claim was obtained. defaultTypeName corrected from empty to malt (Blended Malt Scotch Whisky).
star-stripes	Star & Stripes	brand	US				bourbon	none			unverified	high	https://www.mikeoldfieldwines.co.uk/products/stars-stripes-bourbon-whiskey-kentucky-usa	Corrected kind from blend to brand and defaultTypeName from empty to bourbon: confirmed as a genuine Kentucky Straight Bourbon Whiskey (~$132/750ml) -- "straight bourbon" is a legally protected category that specifically excludes blending with other whiskies, so "blend" was the wrong kind. No specific distillery/company identified across sources tried. No peat (bourbon category default).
syndicate-58-6	Syndicate 58/6	blend	GB-SCT			Douglas Laing & Co	blend	unknown		douglas-laing	unverified	high	https://www.whiskynotes.be/2017/blends/syndicate-586-12-years-douglas-laing/ https://lovescotch.com/products/syndicate-586-premium-blended-scotch-whisky	Confirmed as a genuine Douglas Laing blended Scotch (18 single malts + 4 single grains, tracing to a 1958 cask discovery at the Port of Leith); bottlerSlug set to the already-live douglas-laing row. Peat corrected from none to unknown: sources disagree -- whiskynotes.be's detailed review states only "toasted grains" with no smoke, while lovescotch.com's listing mentions "a hint of smoke" -- kept unknown given the conflict rather than picking a side; no producer-domain (douglaslaing.com) page checked this session to settle it.
take-it-to-the-brig	Take It To The Brig	brand	GB-SCT			Brave New Spirits	grain	none	cameronbridge		unverified	high	https://www.bravenewspirits.com/ https://scotchwhisky.com/whiskypedia/1997/cameronbridge/	Corrected countryCode from XX to GB-SCT and kind from blend to brand. This is a Cameronbridge (Diageo, Fife, Lowland) 12-year-old single grain Scotch, independently bottled by Brave New Spirits (Glasgow) under their "Cask Noir" label -- confirmed on Brave New Spirits' own official site. No peat (grain whisky, essentially always unpeated). The seed's "Brig is Scots dialect" hunch pointed the right direction, though the real story is the Cameronbridge distillery connection rather than a general dialect clue.
taketsuru	Taketsuru	blend	JP			Asahi Group Holdings	malt	medium			unverified	high	https://www.nikka.com/eng/brands/taketsuru/ https://en.wikipedia.org/wiki/Nikka_Whisky_Distilling	Corrected peat from unknown to medium. Nikka's own official site describes Taketsuru Pure Malt's palate as "a light yet layered character, rich with malt and a deep, dense peatiness" with "peat notes" in the finish -- direct producer-domain corroboration, resolving the seed's flagged uncertainty about Yoichi's contribution (the seed's whisky.com fetch had 403'd; nikka.com opened fine this session).
the-forge	The Forge	blend	IE			Hibernia Distillers		unknown			unverified	high	http://www.gamaconsumer.com/ireland-hibernia-distillers-launches-hyde-irish-whiskey/	Confirmed countryCode IE and owner: Hibernia Distillers Ltd is a real independent Irish whiskey bonder/bottler based in Innishannon, Co. Cork, founded 2014 by brothers Conor and Alan Hyde -- the same company behind the already-live "Hyde" Irish whiskey brand. "The Forge" itself was not found named on any page opened this session (hiberniadistillers.com remains a placeholder, as the seed noted), so its specific style/peat could not be directly confirmed -- flagged for reviewer; parent company and country are solid.
