name,confidence,tags
Ardbeg Smoketrails Napa Valley Edition,low,peated|smoky|fruity|oak
Ardbeg Smokiverse,low,peated|smoky|citrus|oak
Ardbeg Spectacular,low,peated|smoky|honey|spicy
Ardbeg Ten,high,peated|smoky|maritime|citrus
Ardbeg Uigeadail,high,peated|smoky|sherry|chocolate
Ardbeg Unicorn's Tale,low,peated|smoky|fruity|caramel
Ardbeg Wee Beastie,high,peated|smoky|spicy|maritime
Ardmore,high,peated|honey|spicy|oak
Ardmore A Marriage of Cask,low,peated|honey|oak
Ardmore Old & Rare,low,peated|oak
Ardmore Port Wood Finish,low,peated|fruity|oak
Ardmore Vintage 1996,low,peated|spicy|oak
Ardnahoe Bholsa,low,peated|smoky|oak
Ardnahoe Cask Strength,low,peated|smoky|spicy
Ardnahoe Inaugural,low,peated|maritime|oak
Ardnahoe Infinite Loch,low,peated|smoky|maritime
Ardnamurchan AD,low,peated|floral|oak
A Rich Repose Wemyss Malts,low,sherry|honey|oak
Arlett,unknown,
Arlett Explorer,unknown,
Arlett FFD Mizunara,low,spicy|oak
Arlett FFD Pineau Des Charentes,low,fruity|honey
Arlett FFD Rhum Barbade,low,fruity|caramel
Arlett Finition Fut de Pineau des Charentes,low,fruity|honey
Arlett Finition Fut de Rhum Barbade,low,fruity|caramel
Arlett Finition fut Mizunara,low,spicy|oak
Arlett Original,unknown,
Arlett Tourbe,high,peated|oak|spicy
Armorik,low,fruity|floral|oak
Armorik Yeun Elez,high,peated|smoky|oak
Arran,high,fruity|floral|vanilla|oak
Arran Amarone Cask,low,fruity|oak
Arran Barrel Bonfire,unknown,
Arran Barrel Reserve,low,fruity|oak|vanilla
Arran Duero Discovery (The Signature Series Edition 3),low,fruity|oak
Arran Local Barley,low,fruity|floral|oak
Arran Machrie Moor,high,peated|smoky|fruity|oak
Arran Malt Sauternes,high,fruity|honey|oak
Arran Port Cask,high,fruity|spicy|oak
Arran Quarter Cask,high,vanilla|spicy|oak|caramel
Arran Rare Batch French Oak,low,oak|nutty
Arran Sauternes Cask,high,honey|fruity|oak
Arran Sherry Cask,high,sherry|fruity|spicy
Arran Vintage 1997,low,fruity|spicy
Artist Ardmore Artist #15 2009,low,peated|smoky
Artist Collective Ardmore Artist Collective 2009,low,peated|honey
Artist Collective Ben Nevis Artist Collective 2017,low,fruity|nutty
Artist Collective Caol Ila 2013,low,peated|maritime|oak
Artist Collective Glen Elgin Artist Collective 2008,low,honey|floral
Artist Collective Glen Ord Artist Collective 2012,low,spicy|nutty
Artist Collective Linkwood Artist Collective 2012,low,floral|fruity
Artist Macallan Artist #14,low,sherry|oak
Atom Irish #1,unknown,
Atom Irish #2,unknown,
Auchentoshan,high,floral|citrus|vanilla|oak
Auchentoshan American Oak,high,bourbon-cask|vanilla|floral
Auchentoshan Dark Oak,low,sherry|caramel|oak
Auchentoshan Sauvignon Blanc Finish,low,citrus|floral|fruity
Auchentoshan Three Wood,high,sherry|caramel|oak|spicy
Auchroisk,low,fruity|nutty|oak
Auchroisk Flora and Fauna,high,fruity|nutty|spicy
Auchroisk Vintage 1990,low,fruity|honey
Azabu,unknown,
Back to Black,unknown,
Bagots Grain Game,unknown,
Balblair,high,honey|fruity|vanilla|spicy
Ballantine's,high,honey|floral|vanilla|fruity
Ballantine's American Barrel,high,bourbon-cask|vanilla|caramel
Ballantine's Bourbon Finish,high,bourbon-cask|vanilla|honey
Ballantine's Brasil,low,fruity|citrus
Ballantine's Finest,high,honey|floral|vanilla|fruity
Ballantine's Finest Gorillaz,high,honey|floral|vanilla|fruity
Ballantine's Finest Kiss,high,honey|floral|vanilla|fruity
Ballantine's Sunshine,unknown,
Ballantine's Sweet Blend,low,caramel|vanilla
Ballantine's Wild,unknown,
Ballechin,high,peated|smoky|spicy|oak
Ballechin Cask Strength,high,peated|smoky|spicy
Ballina Dubailte Double Distilled,unknown,
Ballina Triarach Triple Distilled,unknown,
Balvenie American Oak,high,honey|vanilla|oak|caramel
Balvenie Caribbean Cask,high,honey|caramel|fruity
Balvenie Double Wood,high,honey|sherry|vanilla|oak
Balvenie Pedro Ximenez Cask,high,sherry|chocolate|caramel
Balvenie Pedro Ximenez Sherry Cask,high,sherry|honey|oak
Balvenie Portwood,high,fruity|honey|spicy
Balvenie The Creation of a Classic,low,honey|vanilla
Balvenie Week of Peat,high,peated|honey|vanilla|smoky
Bandwagon,unknown,
Bankhall,unknown,
Bankhall Distiller's Cut English,unknown,
Bank Note,low,floral|vanilla
Barclays,unknown,
Barrell Batch 036,low,caramel|oak|spicy
Barrell Dovetail,low,fruity|caramel|vanilla
Barrell Foundation,low,vanilla|caramel|nutty
Barrell Rye Batch 004 Cask Strength,low,spicy|oak|nutty
Barrell Seagrass,low,fruity|oak|vanilla
Barrell Vantage,low,caramel|vanilla|spicy
Barry Bernard,unknown,
Barry Bernard Honey,unknown,
Barry Bernard Spisy,unknown,
Bart's,unknown,
Bart's XS Edition,unknown,
Bastille 1789,unknown,
Beara,unknown,
Beara Black Cask Blend,unknown,
Beauchamp,unknown,
Beauchamp Triple Grain,unknown,
BEER Aged on Bourbon Oak Chips,unknown,
BEER Pure Craft Beer Distillate,unknown,
BEER Pure Craft Beer Distillate Milkshake IPA,unknown,
Beinn Dubh Thunder in the Glens Anniversary GB,unknown,
Bell's Original,high,spicy|caramel|fruity|oak
Bell's Spiced,high,spicy|caramel|vanilla
Benchmark №8,high,caramel|vanilla|spicy
Ben Nevis,low,fruity|oak|caramel
Ben Nevis Coire Leis,low,sherry|fruity
Ben Nevis Traditional,low,fruity|oak
Ben Nevis Traditional Peated Malt,low,peated|smoky|nutty
BenRiach,low,honey|fruity|nutty
BenRiach Authenticus,high,peated|smoky|honey|oak
BenRiach + BenRiach The Smoky + BenRiach,low,peated|oak
BenRiach Curiositas,high,peated|smoky|honey
Benriach Malting Season,unknown,
BenRiach Oloroso Butt Cask 7353,high,sherry|chocolate|oak
BenRiach Refill Bourbon Barrel Cask 7512,high,bourbon-cask|honey|oak
BenRiach Sherry,high,sherry|fruity|nutty
Benriach Smoke Season,high,peated|smoky|vanilla
Benriach The Original,low,honey|fruity|vanilla
BenRiach The Original Ten,high,honey|fruity|vanilla|oak
BenRiach The Smoky,high,peated|smoky|oak
Benriach The Smoky Ten,high,peated|smoky|fruity
BenRiach The Smoky Twelve,high,peated|smoky|caramel
BenRiach The Twelve,high,honey|fruity|nutty|oak
BenRiach Three Cask Matured,low,honey|sherry|vanilla
Benrinnes Flora and Fauna,high,fruity|nutty|caramel
Benrinnes Special Release 2024,low,fruity|vanilla
Benromach,high,peated|smoky|fruity|spicy
Benromach Cask Strength,high,peated|smoky|maritime|spicy
Benromach High Enzyme,low,peated|spicy|fruity
Benromach Organic,low,peated|nutty|spicy
Benromach Peat Smoke,high,peated|smoky|maritime
Benromach Virgin Oak Air Dried,low,peated|oak|vanilla
Benromach Virgin Oak Kiln Dried,low,peated|oak|caramel
Bercloux,unknown,
Bernheim Original Wheat,high,honey|vanilla|caramel|floral
Berry Bros. Lochindaal 2010 Cask #4339,low,peated|maritime|spicy
Beverbach Tequila Cask Finish,unknown,
Beverbach Tri Cask,unknown,
Big Moustache,low,spicy|caramel
Big Peat,high,peated|smoky|maritime|oak
Big Peat Douglas Laing,high,peated|smoky|maritime|oak
Billy Bong,unknown,
Black Art 11 Bruichladdich,low,sherry|fruity|chocolate
Black Bottle,low,smoky|maritime|oak
Black Bottle Andean Oak,low,oak|smoky
Black Bottle Captain's Cask,low,fruity|caramel
Black Bull Kyloe,low,sherry|fruity|oak
Black Bull Kyloe Sherry Finish,low,sherry|caramel|fruity
Black Bull Peated Finish,low,peated|spicy
Black Label Johnnie Walker,high,peated|smoky|vanilla|oak
Black Label Scots Gold,unknown,
Black Ram,unknown,
Black Ram Bourbon Cask Finish,unknown,
Black Ram Honey Spirit Drink,unknown,
Black Velvet,high,vanilla|oak|spicy
Black Velvet Reserve,low,caramel|vanilla|oak
Black Velvet Toasted Caramel,high,caramel|vanilla|oak
Black Velvet Toasted Caramel Flavored,high,caramel|vanilla|oak
Bladnoch,low,floral|fruity|citrus|oak
Bladnoch 2009,unknown,
Bladnoch Alinta,unknown,
Bladnoch Dragon Series 3 (Spanish Oak Sherry & American Oak),high,sherry|fruity|floral|oak
Bladnoch Dragon Series 5 (Tokaji & Canasta sherry),high,sherry|honey|fruity|oak
Bladnoch Kirkcowan,low,floral|vanilla|oak
Bladnoch Liora,low,floral|fruity|vanilla
Bladnoch Samsara,unknown,
Bladnoch The Wave I,unknown,
Bladnoch Vinaya,unknown,
Bladnoch Vintage 1992,unknown,
Blair Athol 1st Fill Bourbon Hogshead,high,bourbon-cask|vanilla|honey|oak
Blair Athol 1st fill Bourbon Hogshead The Yellow Edition,high,bourbon-cask|vanilla|honey|oak
Blair Athol - First Editions Author's Series Artur Schnitzler,low,honey|sherry|oak
Blair Athol - Hepburn's Choice,low,honey|sherry|oak
Blair Athol Kolonist Cabernet Merlot,high,fruity|spicy|oak
Blair Athol Re-Charred Wine Barrique The Yellow Edition,high,fruity|oak|honey
Blanton's Gold,high,vanilla|caramel|honey|oak
Blanton's Gold Edition,high,vanilla|caramel|honey|oak
Blanton's Original,high,vanilla|caramel|oak|citrus
Blanton's Takara Black Single Barrel,high,caramel|oak|spicy|vanilla
Blended Malt #3,unknown,
Blue Ridge American Virginia Distillery Company,unknown,
Blue Spot,high,fruity|spicy|sherry|oak
Bomberger's Declaration,high,caramel|vanilla|spicy|oak
Bonailie,unknown,
Boulder,unknown,
Boulder American Port Cask Finish,low,fruity|oak|spicy
Boulder Bottled in Bond,unknown,
Boulder New,unknown,
Boulder Peated Malt,high,peated|smoky|oak
Boulevardier,unknown,
Bouteille Double Cask,unknown,
Bouteille Triple Cask,unknown,
Bowmore,high,peated|maritime|honey|chocolate
Bowmore Darkest,high,peated|sherry|chocolate|maritime
Bowmore №1,high,peated|honey|floral|vanilla
Bowmore Vault Edit N°1 Atlantic Sea Salt,high,peated|maritime|smoky|oak
Bowmore Vintage 1997,low,peated|honey|maritime
Braes of Glenlivet,low,fruity|floral|oak
Brenne,high,fruity|floral|vanilla|oak
Brenne Estate Cask,high,fruity|floral|vanilla|oak
Bruichladdich,high,floral|citrus|maritime|oak
Bruichladdich Black Art 11,high,sherry|fruity|spicy|oak
Bruichladdich Black Art 9.1,high,sherry|fruity|spicy|oak
Bruichladdich Classic Laddie Scottish Barley,high,floral|citrus|oak|vanilla
Bruichladdich Islay Barley,high,citrus|fruity|floral|oak
Bruichladdich Islay Barley 2012,high,citrus|fruity|oak
Bruichladdich Islay Barley 2013,high,citrus|fruity|floral
Bruichladdich Islay Barley 2014,high,citrus|fruity|oak
Bruichladdich Octomore 12.2,high,peated|smoky|maritime|oak
Bruichladdich Octomore 15.1,high,peated|smoky|oak|spicy
Bruichladdich Octomore 15.2,high,peated|smoky|maritime|vanilla
Bruichladdich Octomore 16.1,high,peated|smoky|oak|citrus
Bruichladdich Organic Barley,high,floral|citrus|oak
Bruichladdich Organic Barley 2012,high,floral|citrus|fruity
Bruichladdich Port Charlotte,high,peated|smoky|maritime|oak
Bruichladdich Port Charlotte Islay Barley,high,peated|smoky|oak|citrus
Bruichladdich Port Charlotte Islay Barley 2011/2012,high,peated|smoky|maritime|fruity
Bruichladdich Port Charlotte Islay Barley 2013,high,peated|smoky|fruity|oak
Bruichladdich Port Charlotte Islay Barley 2014,high,peated|smoky|citrus|maritime
Bruichladdich Scottish Barley,high,floral|citrus|oak|vanilla
Bruichladdich Super Heavily Peated,high,peated|smoky|oak|maritime
Bruichladdich Yellow Submarine,low,floral|fruity|oak
Buchanan's,high,honey|vanilla|oak|caramel
Buffalo Trace,high,caramel|vanilla|oak|spicy
Bulleit,high,spicy|oak|vanilla|caramel
Bulleit 95 Rye,high,spicy|oak|caramel
Bunnahabhain,high,maritime|sherry|fruity|oak
Bunnahabhain 1987 - Old & Rare,low,fruity|oak|maritime
Bunnahabhain 1989 - Old & Rare,low,fruity|oak|maritime
Bunnahabhain Canasta Cask Matured,high,sherry|fruity|chocolate|oak
Bunnahabhain Cask Strength,high,sherry|fruity|maritime|oak
Bunnahabhain Moine,high,peated|smoky|maritime|oak
Bunnahabhain PX,high,sherry|fruity|honey|oak
Bunnahabhain Ruby Port Cask Finish,high,fruity|oak|maritime|spicy
Bunnahabhain Stiuireadair,high,honey|fruity|maritime|oak
Bunnahabhain Toiteach A Dha,high,peated|smoky|maritime|oak
Bunnahabhain Triple Sherry Wood Finish,high,sherry|spicy|fruity|oak
Bunnahabhain Turas Math,low,fruity|maritime|oak
Bunnahabhain Vintage 2001,low,fruity|maritime|oak
Bushmills,high,fruity|vanilla|floral|oak
Bushmills Black,low,honey|fruity|oak
Bushmills Black Bush,high,sherry|fruity|honey|oak
Bushmills Bourbon Finish,high,bourbon-cask|vanilla|caramel|oak
Bushmills Caribbean Rum Cask Finish,high,fruity|vanilla|caramel|oak
Bushmills Malaga,high,fruity|honey|oak|vanilla
Bushmills Original,high,honey|vanilla|floral|oak
Bushmills Rum Finish,high,fruity|caramel|vanilla|oak
Busker,high,fruity|honey|vanilla|oak
Busker Triple Cask Triple Smooth,high,sherry|fruity|honey|oak
Cabernet Cask American Virginia Distillery Company,low,fruity|oak|spicy
Cadenhead Ben Nevis,unknown,
Cadenhead Craigellachie,unknown,
Cadenhead Glen Garioch,unknown,
Cadenhead Glenglassaugh,unknown,
Cadenhead Glen Moray,unknown,
Cadenhead's 7 Stars,unknown,
Cadenhead Tomatin,unknown,
Cadenhead Tullibardine,unknown,
Cailleach,unknown,
Cailleach Master's Edition,unknown,
Caisteal Chamuis,unknown,
Cameron Bridge,high,vanilla|floral|caramel|oak
Canadian Club,high,caramel|vanilla|oak|spicy
Canadian Mist,high,caramel|vanilla|oak
Canmore,unknown,
Caol Ila,high,peated|maritime|smoky|oak
Caol Ila 1991 - Old & Rare,low,peated|maritime|oak
Caol ila Distillers Edition,high,peated|maritime|fruity|oak
Caol Ila Distillers Edition 2023,high,peated|maritime|fruity|oak
Caol ila Moch,high,peated|maritime|honey|oak
Caol Ila Special Release 2024,low,peated|maritime|smoky|oak
Caol Ila Vintage 1996,low,peated|maritime|oak
Caol Ila White Porto,high,peated|maritime|fruity|oak
Caperdonich,low,fruity|oak|floral
Caperdonich Peated,high,peated|smoky|oak
Cardhu Amber Rock,high,honey|vanilla|floral|oak
Cardhu Gold Reserve,high,honey|vanilla|caramel|oak
Carpathian Palo Cortado,low,sherry|nutty|oak|spicy
Carpathian Shiraz,low,fruity|spicy|oak
Cashmere & Quietude,unknown,
Cask Orkney,unknown,
Catoctin Creek Roundstone Rye CP,high,spicy|floral|oak|fruity
Catoctin Creek Rye Distillers Edition,high,spicy|oak|fruity
Cattos,low,caramel|oak|honey
Catto's Deluxe,low,honey|caramel|oak
Cedar Ridge,low,vanilla|caramel|oak
Cedar Ridge Iowa,low,caramel|vanilla|oak
Cedar Ridge Wheat,low,vanilla|caramel|spicy
Celtic Revival,unknown,
Charles House,unknown,
Charlie Parry's Mallows,unknown,
Chichibu On The Way 2024,low,fruity|spicy|oak
Chichibu Paris Edition 2025,low,fruity|floral|oak
Chichibu Red Wine Cask,low,fruity|spicy|oak
Chivas Brothers Limited XV,low,honey|fruity|oak
Chivas Regal,high,honey|fruity|floral|vanilla
Chivas Regal Balmain,low,honey|fruity|vanilla
Chivas Regal Charles Leclerc Limited Edition,low,honey|fruity|oak
Chivas Regal Crystal Gold,low,honey|vanilla|floral
Chivas Regal Extra,high,sherry|fruity|oak|honey
Chivas Regal Extra Rum Cask,high,fruity|vanilla|caramel|oak
Chivas Regal Extra Sherry Cask,high,sherry|fruity|chocolate|oak
Chivas Regal Extra Tequila Cask,low,citrus|floral|vanilla
Chivas Regal Gold Signature,low,honey|vanilla|oak
Chivas Regal Royal Salute,high,honey|fruity|sherry|oak
Chivas Regal The Icon,low,honey|vanilla|oak
Chivas Regal XV,high,honey|spicy|fruity|oak
Chivas Royal Salute Garden Party,low,floral|fruity|honey
Chivas Royal Salute Peated Blend,high,peated|smoky|honey|oak
Cider Cask American Virginia Distillery Company,low,fruity|oak|vanilla
Civitas,unknown,
Clan Campbell,low,honey|oak|caramel
Clan Campbell Dark,low,sherry|caramel|oak
Clan Denny Highland,low,honey|fruity|oak
Clan Denny Islay,low,peated|smoky|maritime
Clan Denny Speyside,low,fruity|honey
Clan MacGregor,low,caramel|oak|honey
Classic,unknown,
Claymore,low,honey|oak|caramel
Clydeside Napier,low,floral|fruity|oak
Clydeside Stobcross,low,fruity|floral|oak
Clynelish,high,honey|citrus|vanilla|oak
Clynelish Special Release 2025,low,honey|fruity|oak
Clynelish Vintage 1995,low,honey|fruity|oak
Coalition Barrel Proof,unknown,
Coalition Margaux Barriques,low,fruity|spicy|oak
Coalition Pauillac Barriques,low,fruity|oak|caramel
Coalition Sauternes Barriques,low,honey|fruity|vanilla
Compass Box Artist Blend,high,honey|vanilla|fruity|oak
Compass Box Glasgow,low,caramel|spicy|oak
Compass Box Hedonism,high,vanilla|caramel|fruity|oak
Compass Box Nectarosity,high,honey|floral|fruity|vanilla
Compass Box Orchard House,high,fruity|floral|vanilla|oak
Conciere,unknown,
Connemara,high,peated|smoky|spicy|oak
Connemara Distillers Edition,high,peated|smoky|sherry|honey
Connemara Distillers Edition Peated,high,peated|smoky|vanilla|oak
Connemara Original,high,peated|smoky|honey|spicy
Connemara Original (Peated),high,peated|smoky|oak|vanilla
Connemara Peated,high,peated|smoky|spicy|honey
Cooper's Choice Dailuaine 2011 Port Wood Finish,low,fruity|oak|honey
Cooper's Choice Inchgower 2011 Oloroso Cask Finish,low,sherry|fruity|nutty
Copper Dog,high,honey|vanilla|fruity|oak
Courage & Conviction Bourbon Cask,low,bourbon-cask|vanilla|caramel
Courage & Conviction Cuvee Cask,low,fruity|oak|spicy
Courage & Conviction Sherry Cask,low,sherry|fruity|nutty
Crabbie and Cree,unknown,
Crabbie&Cree,unknown,
Cragganmore,high,floral|fruity|spicy|oak
Cragganmore Distillers Edition,high,fruity|spicy|oak|honey
Cragganmore Distillers Edition 2023,low,fruity|oak|spicy
Cragganmore Vintage 1991,low,floral|fruity|oak
Cragganmore Vintage 1997,low,fruity|spicy|oak
Craigellachie,high,fruity|spicy|oak|nutty
Craigellachie Armagnac Cask Finish,low,fruity|spicy|oak
Craigellachie Kokur,low,fruity|oak|spicy
Crater Lake Rye,low,spicy|caramel|oak
Crazy Charley,unknown,
Crazy Charley Black Label,unknown,
Crazy Charley Sour Mash,unknown,
Crazy Charley White Label,unknown,
Crested Jameson,high,honey|vanilla|fruity|oak
Croithli Sessile,unknown,
Cromwell's Royal,unknown,
Crown Royal,high,vanilla|caramel|oak|fruity
Cu Bocan,high,peated|smoky|spicy|oak
Cutty Sark,high,floral|citrus|vanilla|oak
Cutty Sark Original,high,citrus|floral|oak|honey
Cutty Sark Prohibition,low,citrus|floral|spicy|oak
Daftmill,low,fruity|floral|oak
Dailuaine,high,sherry|fruity|spicy|nutty
Dailuaine 1st fill Bourbon Hogshead The Yellow Edition,low,bourbon-cask|vanilla|caramel
Dailuaine 1st fll Oloroso Sherry (Bodega),low,sherry|nutty|fruity
Dailuaine Black Doctor,low,sherry|fruity|spicy
Dailuaine Flora and Fauna,high,sherry|fruity|nutty|spicy
Dailuaine Vintage 1997,low,sherry|fruity|oak
Dalaruan Classic Selection The Lost Distillery,low,maritime|smoky|oak
Dalmahoy Bourbon Cask Finish,low,bourbon-cask|vanilla|caramel
Dalmahoy Rum Cask Finish,low,fruity|vanilla|caramel
Dalmahoy Sherry Cask Finish,low,sherry|fruity|oak
Dalmore,high,sherry|citrus|chocolate|oak
Dalmore Cigar Malt,high,sherry|chocolate|spicy|fruity
Dalmore Cigar Malt Reserve,high,sherry|chocolate|spicy|oak
Dalmore King Alexander III,high,sherry|chocolate|fruity|spicy
Dalmore Port Wood,high,fruity|chocolate|oak|spicy
Dalmore Port Wood Reserve,high,fruity|chocolate|honey|oak
Dalmore Sherry Cask Select,high,sherry|citrus|chocolate|nutty
Dalmore The Quartet,high,sherry|chocolate|fruity|oak
Dalmore The Trio,high,sherry|citrus|chocolate|spicy
Dalwhinnie,high,honey|floral|vanilla|oak
Dalwhinnie Distillers Edition,high,honey|sherry|floral|oak
Dalwhinnie Distillers Edition 2023,low,honey|sherry|oak
Darkness,low,sherry|chocolate|fruity
Darkness! Darkness,low,sherry|fruity|oak
Darkness! Darkness! Campbeltown,low,sherry|maritime|fruity
Darkness! Darkness! Strathisla,low,sherry|fruity|honey
Daucourt Bastille №7 1789,unknown,
Daucourt Bastille №8 1789,unknown,
Daviess County,low,spicy|caramel|vanilla
Daviess County Cabernet Sauvignon,low,fruity|spicy|caramel
Daviess County French Oak,low,oak|spicy|vanilla
Deanston,high,honey|vanilla|citrus|oak
Deanston Kentucky Cask,low,bourbon-cask|vanilla|caramel
Deanston Old Malt Cask,low,honey|vanilla|oak
Deanston Organic,low,honey|floral|citrus|oak
Deanston Tequila Cask Finish,low,citrus|floral|vanilla
Deanston Un-Chill Filtered,low,vanilla|citrus|floral
Deanston Vintage 1994,low,honey|fruity|oak
Deanston Virgin Oak,low,oak|vanilla|spicy
De Danann,unknown,
De Danann Walsh,unknown,
Deep River,unknown,
Dewar Rattray Auchentoshan 1998,low,floral|vanilla|citrus
Dewar Rattray Cask Islay,low,peated|smoky|maritime
Dewar Rattray Cask Speyside,low,fruity|honey|floral
Dewar Rattray Glenrothes 1986,low,sherry|fruity|honey
Dewar Rattray Stronachie,unknown,
Dewar Rattray Stronachie Small Batch,unknown,
Dewar's Caribbean Smooth,low,vanilla|caramel|honey|spicy
Dewar's Carribean Smooth,low,vanilla|caramel|honey|spicy
Dewar's Design White Label,low,honey|vanilla|oak
Dewar's Portuguese Smooth,low,fruity|vanilla|oak
Dewar's Special Reserve,low,honey|oak|spicy|caramel
Dewar's White Label,low,honey|vanilla|oak|spicy
Dewar's Спешел Резерв,low,honey|oak|spicy|caramel
Double Black Johnnie Walker,high,peated|smoky|oak|spicy
Douglas Laing Aberfeldy Vintage,low,honey|floral|oak
Douglas Laing Allt a'Bhaine Vintage,unknown,
Douglas Laing Ardmore,low,peated|smoky|spicy
Douglas Laing Arran,low,fruity|floral|vanilla
Douglas Laing Auchentoshan,low,floral|citrus|vanilla
Douglas Laing Auchroisk,low,fruity|floral
Douglas Laing Beastie,low,honey|spicy|oak
Douglas Laing Ben Nevis,low,fruity|nutty|oak
Douglas Laing Ben Nevis Sherry Cask,low,sherry|fruity|nutty
Douglas Laing Benrinnes Sherry Cask,low,sherry|spicy|chocolate
Douglas Laing Big Peat,high,peated|smoky|maritime|oak
Douglas Laing Bladnoch,low,floral|honey|vanilla
Douglas Laing Blair Athol,low,sherry|nutty|oak
Douglas Laing Bowmore,high,peated|smoky|maritime|honey
Douglas Laing Braes of Glenlivet,unknown,
Douglas Laing Bunnahabhain,low,maritime|nutty|oak
Douglas Laing Bunnahabhain Sherry Cask,low,sherry|maritime|nutty
