oakeshott	Oakeshott	blend	GB-SCT				blend	unknown			unverified	high	https://alcofan.com/marka-viski-oakeshott.html	Identified via alcofan.com: Oakeshott is a blended Scotch whisky (15% single malt) produced by Glasgow Whisky Limited (est. 2007 by Graham Taylor and Stewart Hendry, Glasgow), sourcing malt/grain from Speyside and the Highlands. That source describes "a light peat component" / "light peatty smoke", but since it is a third-party retailer/blog rather than the producer's own domain (glasgowwhisky.com could not be confirmed this session to mention Oakeshott directly), peatProfile is left unknown rather than asserted -- withheld peat proposal: light, per https://alcofan.com/marka-viski-oakeshott.html.
ogilhinn-nessia	Ogilhinn Nessia	brand	GB-SCT					unknown			unverified	high	https://ichehar.com/annuaire/ogilhinn	Identified (seed found no web presence): Ogilhinn Nessia is a real Scotch whisky range, confirmed product "Ogilhinn Nessia Speyside Single Malt Whisky". Search results (whiskybase.com, Cloudflare-blocked this session so not independently opened) describe it as a bottler based in Scotland/UK with Speyside single malt and sherry-cask expressions, plus (per Ukrainian retailer listing snippets, not independently opened either) a "Choice" blend and "Storm"/"Cloud" single malts -- consistent with a multi-region own-label range, so kind is recorded as "brand" rather than "bottler" pending confirmation and region/defaultTypeName are left empty. The two catalogue sample names ("Highland Phantom Peak", "Speyside Celestia Creek") were not found verbatim anywhere on the web; they appear to be this same regionally-themed range under different specific bottlings. No peat evidence found, but the range is broad and unconfirmed, so kept unknown rather than none.
oh-ingram	O.H. Ingram	distillery	US			The Ingram Distillery	bourbon	none			unverified	high	https://ingramwhiskey.com	Verified via producer's own site: O.H. Ingram is the brand of The Ingram Distillery ("the only floating barrelhouse"), Columbus, Kentucky -- ages Kentucky Straight Bourbon Whiskey aboard barges on the Mississippi River ("Mellowed on the Mississippi"). Flagship expressions include Flagship Bourbon and Single Barrel Captain's Choice (base spirit reported by third-party reviews to be distilled under contract at Green River Distillery, Owensboro, KY, then river-aged by Ingram). No peat/smoke; American bourbon norm. Corrects seed's low-confidence name-pattern guess with a verified identity; kind corrected from "blend" to "distillery".
onikishi	Onikishi	blend	XX			Milestone Beverages	blend	none			unverified	high	http://www.milestonebeverages.com/brand/onikishi	Re-verified via producer's own site. Onikishi ("demon knight", 鬼侍) is a Blended Japanese Whisky owned by Milestone Beverages, a Hong Kong-headquartered brand developer/global distributor (portfolio also includes Mixology, Stateless, Taisteal, Blowfish, Atilius) -- no Japan-based distillery confirmed, so countryCode is corrected to XX rather than JP. CORRECTION: seed set peatProfile=light citing this same page's "cedar smoke" (Demon Knight finish) and "light smoky close" (Deadly Sakura finish) notes, but the producer's own copy attributes this to cedar/Mizunara-type cask aging, not peated malt -- cask-derived smoke is not peat (same distinction the KB draws for Jack Daniel's charcoal mellowing). peatProfile corrected to none; added flavor.tsv "smoky" (baseline, non-peat) instead.
rozelieures	Rozelieures	distillery	FR			Distillerie Grallet-Dupic	single malt	none			unverified	high	https://whiskyrozelieures.com/notre-histoire/	Re-verified via producer's own site: vertically integrated single malt distillery in Rozelieures, Lorraine, France, run by the Grallet-Dupic family (6 generations); whisky production launched 2001 by Christophe Dupic. Base/core range (Rare Collection, Subtil Collection, Origine) is unpeated. Two separate peated lines confirmed on the producer's own site and added as rule.tsv rows since neither uses the English word "peat" (so the KB's generic "peated" keyword rule would not catch them): Tourbe (Tourbe Collection, own copy: peat "discreet/masked") and Fume (Fume Collection, own copy: "delicate" peat plus heavy ex-sherry cask char) -- both recorded as light.
ruotkers	Ruotker's	brand	AT			Destillerie Golles (David Golles)		unknown			unverified	high	https://davidgoelles.at/ruotkers-whiskey	Verified via producer's own site (corrects seed's "German-market brand" guess, whose two fetch attempts had failed): Ruotker's is the whiskey brand of Destillerie Golles, a family distillery in Riegersburg, AUSTRIA (distilling since 2003). Range includes Ruediger I/II (five-grain blend, matches sample "Ruotker's Ruediger"), Alois (rye finished in plum brandy cask), 100% Rye, 100% Corn aged in Oloroso Sherry cask (matches sample "Ruotker's Oloroso Sherry Cask"), Wilhelm (peated Scottish barley single malt) and a limited Peated Single Malt (PX sherry finish). Because the range spans both peated and unpeated expressions under one brand, the row's own peatProfile is kept unknown; the peated "Wilhelm" line is instead captured in rule.tsv (pattern-matched, since its name carries no peat keyword).
sam-barton	Sam Barton	brand	CA			La Martiniquaise	rye	none			unverified	high	https://www.la-martiniquaise.com/en/marques/sam-barton	MAJOR CORRECTION from seed (which guessed Kentucky Straight Bourbon, US, unverified): Sam Barton is verified via its owner's own site (La Martiniquaise) to be an authentic CANADIAN whisky, made principally from rye, matured 5 years in Canadian oak. Floral/subtle/balanced profile; no peat/smoke mentioned, consistent with the North American norm.
sazerac	Sazerac	brand	US			Sazerac Company	rye	none			unverified	high	https://en.wikipedia.org/wiki/Sazerac_Company	Re-verified directly (seed's citation was accurate but marked low-confidence): Sazerac Rye is a rye whiskey brand of the Sazerac Company, distilled at Buffalo Trace Distillery, Frankfort, KY. No peat/smoke mentioned; American rye norm. Kind corrected from "blend" to "brand" since it is a straight rye product, not a blended-style whiskey. Upgraded to high confidence: the identity is directly verified even though the source does not explicitly state "unpeated" (peat left none per category norm, which this round's rules permit for a high-confidence row).
scottish-deer	Scottish Deer	brand	MD			MoldStandart	single malt	none			unverified	high	https://moldstandart.md/en/wine/scottish-deer https://moldstandart.md/en/	MAJOR CORRECTION from seed (which assumed "ordinary blended Scotch" by long-tail default policy): Scottish Deer is actually produced by MoldStandart, a MOLDOVAN spirits producer (cognacs, whisky, vodka -- portfolio also includes brands named "Irish Pub" and "WILSON"), explicitly described on its own product page as made "using Scottish technology" rather than actually being made in Scotland. Malt-barley single malt style, aged 3 years, 40% ABV, no peat/smoke mentioned. This is NOT a Scotch whisky despite the name.
scottish-piper	Scottish Piper	blend	GB-SCT				blend	none			unverified	high	https://burlingtondrinks.co.uk	Verified via producer's own site: unlike the similarly-named Scottish Deer elsewhere in this batch (which turned out to be Moldovan), Scottish Piper is a genuine blended Scotch whisky brand of Burlington Drinks (independent UK drinks company based near London; whiskies "aged in Scotland" per its own site). No peat/smoke mentioned; treated as an ordinary unpeated blend. The catalogue's two near-duplicate rows for this name remain covered by the one alias already on file.
sexton	Sexton	brand	IE			Proximo Spirits	single malt	none			unverified	high	https://en.wikipedia.org/wiki/Sexton https://en.wikipedia.org/wiki/Irish_whiskey	Re-verified directly: "The Sexton Irish Whiskey" is confirmed a product of Proximo Spirits per Wikipedia's disambiguation page. Marketed as single malt Irish whiskey from an undisclosed source distillery. Kind corrected from "blend" to "brand": being single malt, it is definitionally not a blend, as the seed's own note already flagged as an awkward mapping. Peat=none per general Irish-whiskey category norm (no specific confirmation found).
shamrose	Shamrose	blend	IE			Proud Irish Whiskey Company Ltd	blend	none			unverified	high	https://www.proudirishwhiskey.com	IDENTIFIED (seed found no web presence): Shamrose Irish Whiskey is confirmed via the producer's own site as a line of Proud Irish Whiskey Company Ltd (Dublin, Ireland, est. 2015), a blend of 85% grain whiskey and 15% malt whiskey, triple distilled, matured in ex-bourbon American oak. No peat/smoke; sweetness/honey/caramel/fruit profile.
skrewball	Skrewball	brand	US			Pernod Ricard		none			unverified	high	https://skrewballwhiskey.com/en/story	Re-verified via producer's own site: Skrewball is a peanut-butter-flavoured American whiskey founded 2018 by Steven and Brittany Yeng in Ocean Beach, San Diego, California; acquired by Pernod Ricard in 2023 (owner recorded as the current owner). Infused/flavoured product, not a traditional distillery; defaultTypeName left empty since none of the closed categories fit an infused whiskey. No peat/smoke; American whiskey base.
