coalition	Coalition	brand	US				rye	none		kentucky-artisan-distillery	unverified	high	https://www.distillerytrail.com/directory-distillery/listing/coalition-whiskey/	Confirmed via distillerytrail.com (opened): Coalition Whiskey is 'distilled, aged and bottled at Kentucky Artisan Distillery' in Crestwood, KY (pre-Prohibition all-copper pot still, zero automation, rye sourced from adjacent Waldeck Farm). Added a new kentucky-artisan-distillery row for bottlerSlug (see below). Founders are reported elsewhere (Leonid Yangarber, Steve Thompson, Ludwig Vanneron per secondary sources) but I could not open a page naming them directly this session, so owner is left blank. 100% Kentucky straight rye, no peat used.
fauconnier	Fauconnier	bottler	FR			La Martiniquaise		unknown			unverified	high	https://www.fauconnier.com/en/home/ https://www.la-martiniquaise.com/en/the-group/an-international-group/	MAJOR CORRECTION: Fauconnier is real and has a working official site (fauconnier.com, opened), contradicting the seed's 'no web presence found' (its searches evidently missed the exact domain). Founded 1829 in Hesdin/Marconne, Hauts-de-France; a spirits blender/bottler (whiskies, vodkas, rums, gins) that both bottles its own branded products and produces private-label spirits for retailers since 1963; part of La Martiniquaise Group since 2011 (confirmed via la-martiniquaise.com, opened, which lists Fauconnier among its establishments alongside Label 5 and Sir Edward's). Corrected kind from blend to bottler (it is an independent blending/bottling company producing several house brands, not one specific blend) and countryCode from empty to FR. The site does not name 'Highland's Friends', 'Hunting Lodge' or 'O'Brian' specifically, so those remain unconfirmed sub-brands of a now-confirmed real bottler; no peat evidence found anywhere.
isle-of-skye	Isle of Skye	blend	GB-SCT			Ian Macleod Distillers	blend	unknown			unverified	high	https://en.wikipedia.org/wiki/Ian_Macleod_Distillers	Confirmed via Wikipedia (opened): Ian Macleod Distillers (then trading as Russell Brokers/Ian MacLeod & Co) acquired Isle of Skye Blended Whisky in May 1963. No blend composition or peat details found anywhere; kept unknown per the seed's reasoning - the Talisker/Skye heritage marketing evokes but does not state the actual composition.
old-perth	Old Perth	blend	GB-SCT			Morrison Scotch Whisky Distillers (formerly Morrison & Mackay)	malt	none		morrison-mackay	unverified	high	https://www.oldperthwhisky.co.uk/about-us	Confirmed via the brand's own official site (opened): owned/operated by Morrison Scotch Whisky Distillers, 'solely owned and operated by ... Jamie and Brian Morrison' (the company traded as Morrison & Mackay until 2020). Set bottlerSlug=morrison-mackay, a live producer slug. Corrected defaultTypeName from blend to malt: the official page calls it a 'Blended Malt Scotch Whisky' (built around ex-Bourbon-matured Aultmore per secondary sources), i.e. a vatted malt with no grain component, not a grain-inclusive blend. No peat mentioned on the official page; kept none per the seed's reasoning plus Aultmore's own unpeated Speyside house style.
sierra-norte	Sierra Norte	distillery	MX			Scorpion Mezcal S.A. de C.V.		none			unverified	high	https://www.sierranortewhiskey.com/	Confirmed via the official site (opened): Oaxacan corn whiskey brand founded by Douglas French (2014), distilled and bottled exclusively by Scorpion Mezcal S.A. de C.V. in Oaxaca, Mexico, imported by Caballeros Inc./Park Street Imports. No peat/smoke mentioned. defaultTypeName kept empty - corn whiskey has no clean match in the closed type list.
suntory	Suntory	blend	JP			Suntory Holdings		unknown			unverified	high	https://en.wikipedia.org/wiki/Hibiki_(whisky)	Confirmed via Wikipedia (opened): Suntory Global Spirits (a subsidiary of Suntory Beverage & Food, itself a subsidiary of Suntory Holdings) makes Hibiki from Yamazaki, Hakushu and Chita distillery whisky. This remains a low-specificity fallback row for catalogue rows tagged bare 'Suntory' (e.g. Toki, Ao) with no more specific in-name match - Hakushu, Chita and Hibiki are modeled as separate rows since their facts differ. CORRECTED peatProfile from none to unknown: a handful of limited Suntory editions (some Hakushu releases) are peated, so a blanket none on this fallback row risked stripping a real peat tag from whichever bare-'Suntory' product happens to be one of those editions.
togouchi	Togouchi	blend	JP			Sakurao Brewery and Distillery (formerly Chugoku Jozo)	blend	none			unverified	high	https://japanhandbook.com/togouchi-whisky-what-youre-actually-buying/ https://togouchi.com/en/gamme-whisky-togouchi/peated-whisky/	Confirmed via japanhandbook.com (opened): the standard/Kiwami/Premium/9-year range is unpeated (malt sourced from Scotland, grain from Canada, aged/blended/bottled by Sakurao Brewery and Distillery, formerly Chugoku Jozo, in a disused JR railway tunnel near Hiroshima). 'Togouchi Peated' is a distinct, explicitly peated expression - confirmed via the producer's own product page (togouchi.com, opened): 18% peated malted barley sourced from Speyside. Wrote a peat rule for pattern 'peated' (peatProfile=light, given the minority 18% proportion) - see rule.tsv, resolving the seed's forward reference to it.
virginia-distillery-company	Virginia Distillery Company	distillery	US				single malt	none			unverified	high	https://vadistillery.com/	Confirmed via the official site (opened, this session - the seed's own fetch is now re-verified): Lovingston, VA, in the Blue Ridge Mountains; 'the most awarded single malt whisky distillery in America'. 'Courage & Conviction' is confirmed as a distinct affiliated brand line (its own separate row, parentSlug pointing here, is outside this batch). No peat/smoke mention anywhere on the site.
white-horse	White Horse	blend	GB-SCT			Diageo	blend	unknown			unverified	high	https://www.koreatimes.co.kr/business/others/20260330/diageo-bets-on-highball-trend-with-korea-launch-of-white-horse-whisky	Confirmed via koreatimes.co.kr (opened): Diageo Korea markets White Horse as 'built around a spirit from the Lagavulin Distillery' with 'a distinctive smoky character' and 'bold smokiness'; the blend also carries Caol Ila and Talisker with Linkwood for balance (~40% malt content per other sources). CORRECTED peat from the seed's light to unknown: this is the strongest evidence found, but the page is a news outlet quoting Diageo Korea, not a page on Diageo's or White Horse's own domain (diageobaracademy.com's White Horse page returned 410 Gone this session), and White Horse itself is not Islay-sited, so per policy it stays unknown. Withheld peat proposal: light-to-medium per the cited article; a reviewer should look for an on-domain Diageo/malts.com source to promote this.
widow-jane	Widow Jane	blend	US					none			unverified	high	https://www.widowjane.com/	Confirmed via the official site (opened): Red Hook, Brooklyn; whiskey is proofed with limestone mineral water trucked from the Rosendale Mines, NY. The current homepage emphasizes bourbon (Heirloom Bourbon, The Vaults 15 Year); Paradigm Rye (a 2023 release per secondary sources) accounts for the row's rye samples and is not shown on the page content fetched, but is consistent with a range spanning bourbon and rye, so defaultTypeName stays empty. No peat/smoke mentioned. Kind kept as blend: whiskey is mostly sourced from Kentucky/Indiana/Tennessee distillates and married in Brooklyn (an NDP/blending model), though 'Baby Jane' is their first fully in-house-distilled release.
kentucky-artisan-distillery	Kentucky Artisan Distillery	distillery	US					unknown			unverified	high	https://www.distillerytrail.com/directory-distillery/listing/coalition-whiskey/	new row for coalition. Crestwood, Kentucky craft/contract distillery; confirmed via distillerytrail.com (opened) as the facility where Coalition Whiskey is distilled, aged and bottled (pre-Prohibition all-copper pot still, zero automation, rye sourced from adjacent Waldeck Farm less than a mile away). Reported elsewhere as co-founded/owned by Steve Thompson, but I could not open a page confirming that detail directly this session, so owner is left blank. defaultTypeName left empty (a contract distillery, range not established). No peat evidence found; kept unknown rather than assumed.
