shin	Shin	blend						unknown			unverified	unknown		Part of the unresolved Japanese-styled budget cluster (see Shinobu); single product, no web presence found this session	shin	1	Shin
sir-park	Sir Park	blend	FR					unknown			unverified	unknown		No web presence found. Possibly a French-market fake-Scottish-sounding brand in the same naming pattern as Sir Edward's ("Sir X"), but unconfirmed this session -- not assumed to be the same producer/owner.	sir park	1	Sir Park
slipknot-9	Slipknot №9	blend						unknown			unverified	unknown		Band-branded novelty whisky ("Iowa"); origin not identified, no search performed this pass.	slipknot 9	1	Slipknot №9 Iowa
smokey-joe	Smokey Joe	blend	XX					unknown			unverified	unknown		Single-product own label; could not identify a source this session (WebSearch budget exhausted). The name itself suggests possible smokiness/peat, which is exactly why it is left unknown rather than guessed - flagged for a human reviewer.	smokey joe	1	Smokey Joe
smooth-ambler	Smooth Ambler	distillery	US					none			unverified	low	https://en.wikipedia.org/wiki/American_Whiskey_Trail https://en.wikipedia.org/wiki/Bourbon_whiskey	Confirmed as a real distillery via its inclusion in Wikipedia's American Whiskey Trail list (West Virginia craft distillery per general knowledge, not itself stated on that page). Makes bourbon, rye and a 'Contradiction' wheated bourbon (per my sample); defaultTypeName left empty since the range spans types. peatProfile via the generic bourbon/rye-category fact.	smooth ambler	1	Smooth Ambler Contradiction
spearhead	Spearhead	blend	XX					unknown			unverified	low		No web presence found this session; country and style could not be identified.	spearhead	1	Spearhead
spice-king	Spice King	blend	GB-SCT				blend	unknown		wemyss-malts	unverified	low		Widely known in general whisky knowledge as a Wemyss Malts blended malt (bourbon-cask/spice-forward, reputed to be unpeated), but no citation could be opened this session confirming this (same access failures as peat-chimney). Left peatProfile unknown per the no-citation rule -- flagging as a likely "none" for reviewer confirmation.	spice king	1	Spice King
spice-monkey	Spice Monkey	blend						unknown			unverified	unknown		No web presence found (zero Wikipedia hits). Flavoured-sounding name; category and country of origin unconfirmed.	spice monkey	1	Spice Monkey
star-stripes	Star & Stripes	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Brand not independently verified via any source actually opened; American-themed name, category default (peat is a Scotch-specific practice) applied.	star stripes	1	Star&Stripes
syndicate-58-6	Syndicate 58/6	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	Name plausibly references "58 malts, 6 grains" blended together (unverified this session); assumed ordinary blend per budget guidance, no indication of peat.	syndicate 58 6	1	Syndicate 58/6
take-it-to-the-brig	Take It To The Brig	blend	XX					unknown			unverified	unknown		Could not identify producer this session. Brig is Scots dialect for bridge, hinting at a Scottish bottling, but this is inference rather than a source, so country left unknown too. Flag for reviewer.	take it to the brig	1	Take It to the Brig
taketsuru	Taketsuru	blend	JP			Asahi Group Holdings	malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Nikka_Whisky_Distilling	Nikka's "Pure Malt" vatting of Yoichi and Miyagikyo malt whiskies (named for founder Masataka Taketsuru), owned by Asahi Group Holdings via Nikka. Yoichi is widely understood to contribute a peated component but the fetched Wikipedia article states no peat/smoke detail and whisky.com returned 403, so left unknown rather than assert a level from memory. REVIEWER FLAG: likely 'light' if independently confirmed -- matches this project's existing 'nikka' row's identical flag for Yoichi.	taketsuru	1	Taketsuru
the-forge	The Forge	blend	IE			Hibernia Distillers		unknown			unverified	low		Owner stated directly by the catalogue's own product name ("The Forge Hibernia Distillers"); hiberniadistillers.com resolves (real domain) but is currently just a "coming soon" placeholder with no product content, so range/peat details could not be confirmed.	the forge|the forge hibernia distillers	1	The Forge Hibernia Distillers
