the-charles-house	The Charles House	blend					blend	none			unverified	low	https://en.wikipedia.org/wiki/Blended_whiskey	No web presence found (Wikipedia search empty). All 3 samples are just 'Charles House' with no other descriptor. Treated as an ordinary own-label blend per the brief's long-tail rule; country left unknown rather than guessed.	charles house|the charles house	3	Charles House
vat-69	VAT 69	blend	GB-SCT			Diageo	blend	none			unverified	low	https://en.wikipedia.org/wiki/VAT_69 https://en.wikipedia.org/wiki/Scotch_whisky	Wikipedia confirms Diageo ownership and "a blend of about 40 malt and grain whiskies"; no peat statement, defaulted to unpeated per ordinary-blend category norm.	vat 69	3	Vat 69
westland	Westland	distillery	US				single malt	none			unverified	low	https://en.wikipedia.org/wiki/Westland_Distillery	Seattle, WA American single malt distillery. Cited page does not address peat for the core range, and does not mention a "Peated" expression at all, but this batch's own samples include "Westland Peated" -- captured as a rule below from that direct evidence (sourceUrls left empty on the rule; exact intensity not independently confirmed, heavy is this session's best estimate for a dedicated peated craft release).	westland	3	Westland Garryana ; Westland Peated ; Westland Sherry Wood
whistlepig	WhistlePig	distillery	US				rye	none			unverified	low	https://en.wikipedia.org/wiki/WhistlePig https://en.wikipedia.org/wiki/Irish_whiskey	Vermont rye whiskey producer, Shoreham. peatProfile via the general 'peat rarely used outside Scotland' category fact plus the well-established production fact that American rye/bourbon malting does not use peat smoke; not a WhistlePig-specific statement. Catalogue spells the brand 'Whistlepig' (lowercase p); official spelling is 'WhistlePig'.	whistlepig	3	WhistlePig ; WhistlePig Vermont Estate Rye
wise-salmon	Wise Salmon	blend	XX					unknown			unverified	low		No web presence found this session; country and style could not be identified.	wise salmon	3	Wise Salmon
yakusun	Yakusun	blend	XX					unknown			unverified	unknown		Samples (Yuzu, Classic, Passion Fruit) read as a flavoured whisky-based drink rather than a conventional Scotch/Japanese whisky; zero Wikipedia search hits. Likely a fantasy/evocative brand name for the Eastern European market rather than an actual Japanese producer -- left fully unknown rather than assume Japan from the name alone.	yakusun	3	Yakusun Classic ; Yakusun Passion Fruit ; Yakusun Yuzu
15-stars	15 Stars	blend						unknown			unverified	unknown		No web presence found. Naming pattern ('Platinum', 'First West') gives no clear nationality signal, so left unclassified rather than guessed.	15 stars	2	15 Stars First West ; 15 Stars Platinum
aber-falls	Aber Falls	distillery	GB-WLS			Halewood Artisanal Spirits	single malt	none			unverified	low	https://www.aberfallsdistillery.com	North Wales single malt distillery (first in North Wales since the early 1900s). Official site does not explicitly say "unpeated", so confidence kept low despite no indication of peat use.	aber|aber falls	2	Aber Falls
alexander	Alexander	blend	XX					unknown			unverified	unknown		Could not identify producer despite research; only Alexander Aqva Di Vita Amarone Cask Finish sample available. Possibly Italian or generic European. Flag for reviewer.	alexander	2	Alexander ; Alexander Aqva Di Vita Amarone Cask Finish
angels-envy	Angel's Envy	distillery	US			Bacardi Limited	bourbon	none			unverified	low	https://en.wikipedia.org/wiki/Whisky	Louisville, Kentucky bourbon distillery known for port-cask finishing (its whole signature, not a separate 'Port Cask' sub-brand -- the two samples are both just the core product). Ownership (Bacardi Limited, acquired 2015) is from general knowledge; a dedicated Wikipedia fetch attempted this session 404'd on the title tried, so that specific fact is NOT independently re-verified -- only the general Whisky article backs the peat=none category claim.	angels envy	2	Angel's Envy Port Cask ; Angel's Envy Port Cask Finish
back-to-black	Back to Black	blend						unknown			unverified	unknown		No information found this session; samples are 'Back to Black' / 'The Story of Back to Black' - own-label, origin unclear, not searched (long tail budget)	back to black|the story of back to black	2	Back to Black ; The Story of Back to Black
ballina	Ballina	distillery	IE			Terroirs Distillers	single malt	none			unverified	low	https://www.thespiritsbusiness.com/2025/11/connacht-distillery-becomes-ballina/ https://www.irishwhiskeymagazine.com/news/latest-news/ballina-irish-single-malt-debuts-first-expressions/	Formerly 'Connacht Distillery' (Co. Mayo, est. 2015), rebranded Ballina in 2025 after acquisition by Terroirs Distillers (Tullibardine's owner). First releases Dubailte (double wood) and Triarach (triple wood), 100% Irish malted barley. No peat/smoke mentioned in sources found.	ballina	2	Ballina Dubailte Double Distilled ; Ballina Triarach Triple Distilled
