jp-wisers	J.P. Wiser's	blend	CA			Corby Spirit and Wine		none			unverified	low	https://en.wikipedia.org/wiki/Corby_Spirit_and_Wine	No explicit peat statement; Canadian whisky has no peat tradition. defaultTypeName left empty - Canadian whisky has no clean match in the closed type list (same call as batch-01's Black Velvet)	j p wisers|jp wisers|wisers	3	J.P. Wiser's ; J.P. Wiser's Triple Barrel ; J.P. Wiser's Tripple Barrel
kamiki	Kamiki	blend	JP			Kamiki Shuzo	blend	unknown			unverified	low	https://greatdrams.com/kamiki-japanese-blended-whisky/	Nara-prefecture blend combining Japanese whisky with malts sourced from around the world (Kamiki Shuzo / Helios Distiller); no information found on whether peated malt is used.	kamiki	3	Kamiki Intense ; Kamiki Original ; Kamiki Sakura
kentucky-jack	Kentucky Jack	blend	US					unknown			unverified	low		Own-label American-style whiskey, no web presence found; fast-tracked per own-label rule (3 near-identical sample names, name evokes Jack Daniel's).	kentucky jack	3	Kentucky Jack
kindilan	Kindilan	blend	CA					unknown			unverified	low		Product names explicitly say 'Канадіан' (Canadian), the basis for countryCode=CA; no other information found this session	kindilan	3	Kindilan ; Kindilan Канадіан
lagg	Lagg	distillery	GB-SCT	islands	highland	Isle of Arran Distillers Ltd	single malt	heavy			unverified	high	https://en.wikipedia.org/wiki/Lagg_distillery	Arran's second distillery (opened 2019), a separate physical site from Arran/Lochranza - built specifically to produce a heavily peated style (50ppm Highland peat), unlike unpeated Arran. Region islands/legalRegion highland per the same Arran convention as Tobermory.	lagg	3	Lagg Corriecravie ; Lagg Kilmory ; Lagg Small Batch Palo Cortado Finish
longrow	Longrow	brand	GB-SCT	campbeltown	campbeltown	J&A Mitchell & Company	single malt	heavy	springbank		unverified	high	https://en.wikipedia.org/wiki/Springbank_(distillery)	Springbank's heavily-peated, double-distilled sibling brand (named directly in the brief's own sibling-pair list). Cited article: "Longrow Single Malt is a highly peated, double-distilled whisky".	longrow	3	Longrow
lord-elcho	Lord Elcho	blend	GB-SCT				blend	unknown			unverified	low		Believed to be associated with the Wemyss family (name matches the Earl of Wemyss's courtesy title, and the family runs Wemyss Malts/Kingsbarns distillery), but no citation could be opened this session confirming producer or peat level -- Wikipedia has no article and other searches returned nothing relevant. bottlerSlug intentionally left empty pending verification (contrast peat-chimney/spice-king, where the Wemyss link is well-established general knowledge).	lord elcho	3	Lord Elcho ; Lord Elcho Premium
mackmyra	Mackmyra	distillery	SE				single malt	none			unverified	low	https://www.masterofmalt.com/whiskies/mackmyra/mackmyra-svensk-rok-swedish-smoke-whisky/ https://whiskyanalysis.com/index.php/2018/12/16/mackmyra-svensk-rok/	Svensk Rök ("Swedish Smoke", ~70% peated malt) is explicitly Mackmyra's first/only dedicated smoky release, implying the core range (incl. this batch's Björksav and Moment Tolv) is unpeated; no direct statement for those two specific bottlings, confidence kept low. See rule.tsv for Svensk Rök, added defensively though not itself in this batch's samples	mackmyra	3	Mackmyra ; Mackmyra Bjorksav ; Mackmyra Moment Tolv
maen	Maen	blend						unknown			unverified	unknown		No identifiable web presence found under any spelling tried. Input gives only the bare name "Maen" three times with no distinguishing sample product name, so origin, type and owner could not be determined.	maen	3	Maen
meikle-toir	Meikle Toir	blend	XX					unknown			unverified	unknown		No web presence found this session. Name reads Scots/Gaelic ("Meikle" = great/large) but one sample variant is "The Chinquapin" (chinquapin oak is a cask type mainly associated with American craft whiskey), so country/origin is genuinely ambiguous - left unknown rather than guessed.	meikle toir	3	Meikle Toir The Chinquapin ; Meikle Toir The Original ; Meikle Toir The Sherry
old-ezra	Old Ezra	brand	US					none	lux-row-distillers		unverified	low	https://en.wikipedia.org/wiki/Whisky	Ezra Brooks-family line bottled by Lux Row Distillers (see lux-row row in this file). Samples span both rye ('Rye Full Proof') and bourbon ('7 Bourbon Barrel Strength'), so defaultTypeName left empty. American whiskey category default applied for peat.	old ezra	3	Old Ezra 7 Barrel Strength ; Old Ezra 7 Bourbon Barrel Strength ; Old Ezra Rye Full Proof
old-virginia	Old Virginia	blend	US			La Martiniquaise	bourbon	none			unverified	low	https://bottleofitaly.com/en/products/bourbon-6-years-70cl-old-virginia https://caskcartel.com/products/old-virginia-original-kentucky-straight-bourbon-whiskey-700ml	Kentucky Straight Bourbon, La Martiniquaise portfolio (sourced, not own distillery). No explicit peat statement; inferred unpeated - standard bourbon mashbill, no peated malt mentioned	old virginia	3	Old Virginia
pearse	Pearse	distillery	IE					none			unverified	low	https://pearselyonsdistillery.com/about-us/	Pearse Lyons Distillery, Dublin (former St James' Church), opened 2017, founded by Dr Pearse Lyons. Range includes a blend ('Pearse Distillers Blend') alongside single malt/pot still releases, so defaultTypeName left empty. No peat mentioned; Irish whiskey of this style is typically unpeated.	pearse|pearse lyons distillery	3	Pearse Distillers Blend ; Pearse Founders ; Pearse Lyons Distillery
