knob-creek	Knob Creek	blend	US			Beam Suntory		none			unverified	low	https://en.wikipedia.org/wiki/Knob_Creek_(bourbon)	Bourbon whiskey brand by Beam Suntory; range now also includes a rye, so defaultTypeName left empty. Bourbon/rye American whiskey is categorically unpeated.	knob creek	4	Knob Creek ; Knob Creek Original
kura	Kura	blend	JP					unknown			unverified	unknown		Could not identify the producer. Investigated two candidates: Eigashima Shuzo's White Oak distillery (maker of Akashi) and Matsui Shuzo's Kurayoshi/Matsui brand family -- Matsui's own official site (matsuiwhisky.com) lists Kurayoshi/Matsui/Tottori/San-in/Daisen but no product called 'Kura', so that link is unconfirmed. 'White Oak' in the sample name 'Kura White Oak' may simply denote the American-white-oak cask species rather than a brand reference. Left fully unknown rather than guess; flag for human review.	kura	4	Kura Rum Cask Finish Malt ; Kura the Classic ; Kura White Oak
lauders	Lauder's	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	Blended Scotch whisky brand; no dedicated Wikipedia article found. FOR REVIEWER: I recall from general knowledge, NOT verified via a fetched source this session, that Lauder's is produced by MacDuff International Ltd - left owner blank rather than asserting it. peatProfile via the same general blend-character inference as Black Ram/Glendale.	lauders	4	Lauder's ; Lauder's Finest
may-loag	May-Loag	blend						unknown			unverified	unknown		Faux-Scottish-sounding name (Journey/Diamond/Elegance/Triple Wood range); could not confirm true country of origin or producer this session, left blank rather than assumed Scottish	may loag	4	May-Loag Diamond ; May-Loag Elegance ; May-Loag Oriel ; May-Loag Triple Wood
mcconnells	McConnell's	blend	IE				blend	none			unverified	low	https://mcconnellsirishwhisky.com/ https://en.wikipedia.org/wiki/Irish_whiskey	Official site: "a blend of select malt and grain whiskies, matured in ex-bourbon oak barrels" (Belfast brand, revived by Belfast Distillery Company). No peat mentioned; peat=none per Irish-whiskey category norm.	mcconnells	4	McConnell's ; McConnell's Restoring the Legend ; McConnell's Sherry Cask ; McConnell's Sherry Cask Finish
mcivor	McIvor	blend	GB-SCT				blend	none			unverified	low	https://thewhiskeywash.com/scotch-whiskey/from-mild-to-wild-understanding-peat-levels-in-scotch-whisky/	Own-label style ("McIvor Finest"), no independent web presence found; treated as an ordinary unpeated blended Scotch per brief long-tail default, not brand-verified.	mcivor	4	McIvor ; McIvor Finest
micil	Micil	distillery	IE					none			unverified	low	https://en.wikipedia.org/wiki/List_of_whiskey_distilleries_in_Ireland https://en.wikipedia.org/wiki/Irish_whiskey	Independent craft distillery, Galway, founded 2016 (per Wikipedia's List of whiskey distilleries in Ireland). 'SPS' in two sample names likely means 'Single Pot Still' but the range also includes other styles (Small Batch, Long Walk), so defaultTypeName left empty. peatProfile via the general Irish-whiskey category fact (peat rarely used outside Scotland), not distillery-specific.	micil	4	Micil Earls Island SPS ; Micil Inverin Small Batch ; Micil Long Walk ; Micil Madeira Island SPS
new-riff	New Riff	distillery	US					none			unverified	low	https://en.wikipedia.org/wiki/Kentucky_Bourbon_Trail	Independent craft distillery in Newport, Kentucky, confirmed real via the Kentucky Bourbon Trail wiki page ("Northern Craft Tour: New Riff Distillery in Newport"). Produces both bourbon and rye (samples: Malted Rye, Bottled in Bond, Bottled-in-Bond Rye) so defaultTypeName left empty. Bourbon/rye are not peated categories.	new riff	4	New Riff Bottled in Bond ; New Riff Bottled-in-Bond Rye ; New Riff Malted Rye ; New Riff Single Barrel Strength
peat-chimney	Peat Chimney	blend	GB-SCT				blend	unknown		wemyss-malts	unverified	low		Widely known in general whisky knowledge as a Wemyss Malts blended malt named for its peat character, but every citable source attempted this session (Wemyss's own site, The Whisky Exchange, distiller.com, whisky.com) returned a connection failure or 403. Left peatProfile unknown per the no-citation rule despite the suggestive name -- flagging as a likely "heavy" for reviewer confirmation.	peat chimney	4	Peat Chimney ; Peat Chimney Wemyss Malts ; Wemyss Malts Peat Chimney
port-askaig	Port Askaig	brand	GB-SCT	islay	islay		single malt	heavy		elixir-distillers	unverified	low	https://scotchwhisky.com/whiskypedia/2073/port-askaig/ https://www.htfw.com/distilleries/port_askaig	Curated range of undisclosed single malts from various Islay distilleries (Elixir Distillers keeps sources confidential; enthusiasts widely link some batches to Caol Ila/Laphroaig/Bunnahabhain, none officially confirmed). Every release is marketed around Islay's 'smoky, maritime character', so peat is recorded as heavy despite the source distillery being left blank per the undisclosed-label rule.	port askaig	4	Port Askaig
proper-no-twelve	Proper No. Twelve	blend	IE			Proximo Spirits	blend	none			unverified	low	https://chilledmagazine.com/conor-mcgregor-launches-proper-no-twelve-irish-whiskey/ https://www.ohlq.com/liquor/whiskey/irish/blend/proper-no-twelve-irish-whiskey	Blend of triple-distilled malt and grain whiskey, founded by Conor McGregor (Eire Born Spirits), now majority-owned by Proximo Spirits. No explicit peat statement; inferred unpeated from Irish tradition and tasting notes (vanilla, honey, toasted wood) with no smoke mentioned	proper 12|proper no twelve|proper twelve	4	Proper No. Twelve ; Proper № Twelve ; Proper Twelve Apple
rock-island	Rock Island	blend	GB-SCT			Douglas Laing & Co	blend	light		douglas-laing	unverified	low	https://en.wikipedia.org/wiki/Douglas_Laing_%26_Co	Blended malt combining single malts from Islay, Arran, Jura and Orkney (formerly "Rock Oyster"). Source confirms the composition but does not describe smoke/peat intensity; since only one of the four source islands (Islay) is reliably peated and the others are unpeated/lightly peated, "light" is a conservative estimate, not a confirmed figure - kept low confidence, flagged for a reviewer.	rock island|rock oyster	4	Douglas Laing Rock Island ; Douglas Laing Rock Island Sherry Edition ; Douglas Laing's Rock Island ; Rock Island Sherry Edition
scarabus	Scarabus	brand	GB-SCT	islay	islay	Hunter Laing & Co	single malt	medium		old-malt-cask	unverified	low	https://whiskyadvocate.com/Hunter-Laing-Co-Scarabus-46 https://scotchwhisky.com/magazine/latest-news/25772/hunter-laing-launches-scarabus-for-feis-ile/	Single malt from an undisclosed Islay distillery ('mystery malt'), launched by Hunter Laing for Feis Ile 2019, tied to the opening of their own Ardnahoe distillery. Official notes cite 'Islay peat smoke' aroma; exact ppm/intensity not published, so classified medium rather than heavy out of caution. Source distillery deliberately left blank per the undisclosed-label rule (rule 3).	scarabus	4	Scarabus ; Scarabus Batch Strength
