king-robert	King Robert	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	"King Robert II" budget blended Scotch. Checked Inver House Distillers' Wikipedia page on the assumption they own it; King Robert II is NOT listed among their brands there, so owner is left empty rather than asserted. Peat=none per ordinary-blend category norm.	king robert	6	King Robert II
kurayoshi	Kurayoshi	blend	JP			Matsui Shuzo	malt	unknown			unverified	low	https://matsuiwhisky.com/en/item/kurayoshi/ https://impexbev.com/kurayoshi/	"The Kurayoshi" pure/vatted malt, blended from malt whiskies sourced from various Scottish distilleries plus Japanese malt; no peat information found for the sourced components, left unknown	kurayoshi|the kurayoshi	6	Kurayoshi ; Kurayoshi Sherry Cask ; The Kurayoshi Tottori
lakes	Lakes	distillery	GB-ENG			Nyetimber		unknown			unverified	low	https://en.wikipedia.org/wiki/The_Lakes_Distillery	English whisky distillery, Bassenthwaite Lake, Cumbria; bought by winemaker Nyetimber in 2024 (previously independent, founded 2014 by Paul Currie). Sample names (Equinox, Galaxia, Resfeber, Nostalgia, Signature, Whiskymaker's Reserve No.7) are all distinct experimental releases with no stated common peat level - genuinely appears to vary by release, so left unknown rather than guessed.	lakes|the lakes|the lakes distillery	6	Lakes Equinox ; Lakes Galaxia ; Lakes Nostalgia ; Lakes Resfeber ; Lakes Signature ; Lakes Whiskymakers Reserve No.7
mac-talla	Mac-Talla	blend	GB-SCT	islay	islay		single malt	unknown			unverified	low		Islay single malt brand (Morrison & Mackay / Morrison Scotch Whisky Distillers); source distillery undisclosed. This batch's own samples say "Peated" and "Lightly Peated" for the Flora range, strongly suggesting the whole brand is peated Islay malt, but no accessible citation was found this session (official domain is parked, retailer pages 403, no Wikipedia article, Wikipedia search returned nothing relevant) so peat is left unknown rather than guessed. Reviewer should very likely set this to light/medium/heavy after checking the brand's own materials -- CLAUDE.md's own flavor_rule documentation already cites "Mac-Talla Flora Lightly Peated" as a case the central peated/lightly-peated keyword priority ordering is designed to handle, so no producer-specific rule was added here either.	mac talla	6	Mac-Talla Flora Lightly Peated Morrison ; Mac-Talla Flora Peated ; Mac-Talla Mara Cask Strength Morrison ; Mac-Talla Strata Morrison ; Mac-Talla Terra Classic Islay ; Mac-Talla Terra Classic Morrison
morris-rutherglen	Morris	distillery	AU			Casella Family Brands	single malt	unknown			unverified	low	https://en.wikipedia.org/wiki/Casella_Family_Brands	"Morris of Rutherglen" -- Casella Family Brands has sold whisky under this legacy fortified-wine brand since 2021 (confirmed via Wikipedia), using Muscat/Port/Sherry/Tokay fortified-wine cask finishes (all named in this batch's samples). No peat/smoke statement found for the base range. This batch also has a "Morris Smoked Muscat Barrel" -- deliberately NOT given a rule.tsv row: 'smoked' could mean peat-smoke or a non-peat wood-smoke and no source distinguishes which, so guessing would risk exactly the wrong-row-is-worse-than-no-row failure. REVIEWER FLAG: check this specific release.	morris	6	Morris ; Morris Muscat Barrel ; Morris Port Barrel ; Morris Sherry Barrel ; Morris Smoked Muscat Barrel ; Morris Tokay Barrel
penelope	Penelope	blend	US				bourbon	none			unverified	low	https://en.wikipedia.org/wiki/Whisky	New Jersey-based bourbon brand (per List of wineries, breweries, and distilleries in New Jersey search result); non-distiller producer blending sourced bourbon (Four Grain, Architect, cask finishes). Peat-kilning is specifically a Scotch practice per cited page; no US bourbon peat indication found.	penelope	6	Penelope Architect ; Penelope Barrel Strength ; Penelope Bourbon Barrel Strength ; Penelope Four Grain ; Penelope Rose ; Penelope Toasted
pokeno	Pokeno	distillery	NZ			Pokeno Whisky Company	single malt	unknown			unverified	low	https://pokenowhisky.com	Small-batch New Zealand single malt distillery in the Waikato region (near the Bombay Hills). Official site's homepage and 'Our Whisky' page state no peat/smoke information for any expression (Ringbearer, Core Range, Exploration Series, Single Casks) -- left unknown rather than guessed.	pokeno	6	Pokeno Discovery ; Pokeno Moscatel Cask ; Pokeno Origin ; Pokeno Revelation ; Pokeno Totara Cask ; Pokeno Winter
restless-pony	Restless Pony	blend					rye	none			unverified	low	https://en.wikipedia.org/wiki/Rye_whiskey	No country stated by the catalogue and no producer identified this session. defaultTypeName=rye taken from the catalogue's own guess; peatProfile=none rests on the general rye-whiskey-is-unpeated category convention (peated malt is not used in American rye mashbills), not a brand-specific source.	restless pony	6	Restless Pony ; Restless Pony Original
samuel-gelstons	Gelston's	blend	IE				blend	none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Historic Northern Irish whiskey brand (associated with Henry Neill, Rockport House, Co. Down); today mainly visible as the sponsorship name of the Irish Cup football competition. Current producer/owner unconfirmed. countryCode set to GB since Northern Ireland has no dedicated code in the closed list (GB-ENG/SCT/WLS don't apply, and IE is the Republic of Ireland). Peat via the Irish-whiskey category source (peat rare outside Scotland). Country normalized GB -> IE: the closed list has no GB-NIR and this seed follows the Irish-whiskey GI convention.	gelstons|samuel gelstons	6	Gelston's ; Gelston's Halewood ; Samuel Gelston's
scots-gold	Scots Gold	blend	GB-SCT			Charles Edge	blend	none			unverified	low	https://charlesedge.com/collections/scots-gold-whisky https://www.finewineandgoodspirits.com/scots-gold-blended-scotch/product/000096048	Blend of 15+ malts + Lowland grain by independent bottler/blender Charles Edge; no smoke/peat noted in any tasting note found.	scots gold	6	Black Label Scots Gold ; Red Label Scots Gold ; Scots Gold ; Scots Gold Black Label ; Scots Gold Red Label
yamazaki	Yamazaki	distillery	JP			Suntory	single malt	none			unverified	low	https://en.wikipedia.org/wiki/Yamazaki_distillery https://en.wikipedia.org/wiki/Irish_whiskey	Suntory's flagship single malt distillery (Osaka). The Wikipedia article makes no mention of peat or smoke anywhere in its text, consistent with Yamazaki's well-known fruity/sherry-driven house style (contrast sister distillery Hakushu, which has an explicit peated limited line). No sentence directly states 'unpeated', so kept at low confidence.	the yamazaki|yamazaki	6	Suntory Yamazaki ; The Yamazaki ; The Yamazaki 100th Anniversary LE 2023 ; The Yamazaki Distiller's Reserve ; The Yamazaki Suntori
yellowstone	Yellowstone	blend	US				bourbon	unknown			unverified	low		Believed to be Limestone Branch Distillery / Lux Row Distillers, Bardstown KY, per general trade knowledge; three separate fetch attempts to confirm this failed (404), so left uncited and owner empty rather than asserted; peat unknown per BRIEF.md's no-citation rule	yellowstone	6	Yellowstone ; Yellowstone Family Recipe Anniversary ; Yellowstone Rum Cask Finish ; Yellowstone Select ; Yellowstone Small Batch ; Yellowstone Toasted Staves Finish
barry-bernard	Barry Bernard	blend						unknown			unverified	unknown		No information found. 'Honey' and 'Spisy' [sic, likely 'Spicy'] variants suggest a flavored whisky-based product; origin and type could not be determined within budget.	barry bernard	5	Barry Bernard ; Barry Bernard Honey ; Barry Bernard Spisy
