celtic-revival	Celtic Revival	blend	IE				blend	none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	No web presence found (single product, no distinguishing sample). Irish-themed own-label blend pattern, category default applied per the brief's long-tail rule.	celtic revival	1	Celtic Revival
civitas	Civitas	distillery	MD			Chateau Cojușna		none			unverified	low	https://vinotecaromaneasca.ro/shop-2/whiskey-civitas-single-malt/ https://mediagalaxy.ro/whisky-civitas-0-7l/cpd/SPRSGRWSC/	Moldovan single malt (3-year, "Original Scottish Technology" claim) plus flavoured Honey/Apple variants, so defaultTypeName left empty. No smoke/peat mentioned in the thin, partly foreign-language sourcing available	civitas	1	Civitas
crater-lake	Crater Lake	blend	US				rye	unknown			unverified	low		Not researched (budget). "Crater Lake" is a well-known Oregon, US landmark; countryCode/defaultTypeName inferred from the name, peat left unknown per no-citation policy.	crater lake	1	Crater Lake Rye
cromwells-royal	Cromwell's Royal	blend	GB-SCT					unknown			unverified	low		Own-label blended Scotch, no web presence found; fast-tracked per own-label rule.	cromwells royal	1	Cromwell's Royal
cumberland-falls	Cumberland Falls	distillery					bourbon	none			unverified	low	https://en.wikipedia.org/wiki/Bourbon_whiskey	No country stated by the catalogue and no specific producer identified this session (named for the Kentucky waterfall). peatProfile=none rests on the general bourbon-is-unpeated category convention, not a brand-specific source.	cumberland falls	1	Cumberland Falls
daddy-rack	Daddy Rack	blend	US				tennessee	unknown			unverified	low		Product name explicitly says 'Tennessee Straight', the basis for countryCode=US/defaultTypeName=tennessee; producer/distillery not identified this session	daddy rack	1	Daddy Rack Tennessee Straight
deep-river	Deep River	blend	XX					unknown			unverified	unknown		Single-product own label; could not identify this brand this session (WebSearch budget exhausted). Fast/cheap long-tail treatment per the brief; left fully unknown rather than guessed.	deep river	1	Deep River
dilmoor	Dilmoor	blend						unknown			unverified	unknown		No information found within budget. Single sample name is 'Gold Mill', which does not obviously relate to the brand name 'Dilmoor' - origin and type could not be determined.	dilmoor	1	Gold Mill
dram-loch	Dram Loch	blend	GB-SCT					unknown			unverified	low		No web presence found this session; "Dram"/"Loch" naming strongly suggests an own-label Scotch blend.	dram loch	1	Dram Loch
dry-fly	Dry Fly	distillery	US					none			unverified	low	https://en.wikipedia.org/wiki/American_Distilling_Institute	Craft distillery, Spokane, Washington -- confirmed real via the American Distilling Institute wiki page (2010/2011 Bubble Cap "Distillery of the Year"). Known for wheat whiskey (not one of the 8 listed defaultTypeName values, left empty). American whiskey categories are not peated.	dry fly	1	Dry Fly Cask Strength Wheat
dublins-own	Dublin's Own	blend	IE				blend	none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	No dedicated source found; own-label Irish blend inferred from the name. Peat via the Irish-whiskey category source.	dublins own	1	Dublin's Own
