oakeshott	Oakeshott	blend						unknown			unverified	unknown		No information found for this brand within budget (Wikipedia search returned only unrelated people/topics named Oakeshott). Origin and type unknown.	oakeshott	2	Oakeshott
ogilhinn-nessia	Ogilhinn Nessia	blend	GB-SCT					unknown			unverified	low		Two catalogue entries share this stem with different invented-sounding regional flourishes ("Highland Phantom Peak", "Speyside Celestia Creek"); no web presence found for either. Likely an own-label range with a region-themed name per bottling, but the specific distillery/region cannot be confirmed, so region is left empty rather than picked arbitrarily; kept as one producer row covering both catalogue entries.	ogilhinn nessia|ogilhinn nessia highland phantom peak|ogilhinn nessia speyside celestia creek	2	Ogilhinn Nessia Highland Phantom Peak ; Ogilhinn Nessia Speyside Celestia Creek
oh-ingram	O.H. Ingram	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	"O.H. Ingram River Aged"/"...Flagship" -- initials-plus-surname is a common American whiskey brand-naming convention (cf. E.H. Taylor, W.L. Weller), so US is a low-confidence inference from the name alone; no citation confirms the specific producer. Peat citation is the general non-Scotch-unpeated statement (see canadian-club note).	o h ingram	2	O.H. Ingram River Aged ; O.H. Ingram River Aged Flagship
onikishi	Onikishi	blend	JP			Milestone Beverages	blend	light			unverified	low	http://www.milestonebeverages.com/brand/onikishi	Marketed as "Japanese blended whisky" ("Oni" demon + "Kishi" knight); brand page describes cedar/lightly-smoked malt notes alongside dominant floral and honey character in both expressions (Demon Knight, Deadly Sakura) — not marketed as a peated whisky. Milestone Beverages may be a distributor/marketing brand owner rather than the actual distiller.	onikishi	2	Onikishi Deadly Sakura ; Onikishi Demon Knight
rozelieures	Rozelieures	distillery	FR			Distillerie Grallet-Dupic	single malt	none			unverified	low	https://whiskyrozelieures.com/notre-histoire/ https://www.leclubdesconnaisseurs.com/marque/rozelieures/	Vertically integrated single malt distillery in Rozelieures, Lorraine (own barley, malting, distilling, maturation); founded early 2000s, first release 2007. Base/Origine range unpeated -- see rule.tsv for the separate Tourbe (peated) line.	rozelieures	2	Rozelieures Rare Collection ; Rozelieures Subtil Collection
ruotkers	Ruotker's	blend						unknown			unverified	unknown		Samples ('Ruediger', 'Oloroso Sherry Cask') read as a German-market brand but this is unconfirmed; two fetch attempts this session failed (403/404)	ruotkers	2	Ruotker's Oloroso Sherry Cask ; Ruotker's Ruediger
sam-barton	Sam Barton	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Believed to be a Kentucky Straight Bourbon private label commonly sold in European discount retail (general market knowledge), but no dedicated source was found/opened this session, so defaultTypeName is left empty rather than asserted as bourbon. Peat=none per general American-whiskey category norm.	sam barton	2	Sam Barton
sazerac	Sazerac	blend	US			Sazerac Company	rye	none			unverified	low	https://en.wikipedia.org/wiki/Sazerac_Company	Sazerac Rye, distilled at Buffalo Trace (Frankfort, KY) per the cited page. American straight rye mash bills do not use peated malt, but the page does not explicitly address peat, hence confidence=low rather than high.	sazerac	2	Sazerac
scottish-deer	Scottish Deer	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found; generic "Scottish"-branded name, 2 products with no descriptors - treated per the long-tail own-label default (ordinary blended Scotch is conventionally unpeated).	scottish deer	2	Scottish Deer
scottish-piper	Scottish Piper	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	No web presence found; treated as an ordinary own-label blended Scotch per budget policy. Catalogue has two near-duplicate rows for this name (one typed "blend", one untyped) -- both covered by the one alias below.	scottish piper	2	Scottish Piper Finest
sexton	Sexton	blend	IE			Proximo Spirits	single malt	none			unverified	low	https://en.wikipedia.org/wiki/Sexton https://en.wikipedia.org/wiki/Irish_whiskey	'The Sexton Irish Whiskey' confirmed as a product of Proximo Spirits (Wikipedia disambiguation page). Marketed as single malt Irish whiskey from an undisclosed source distillery; kind=blend used only as the closest available bucket for an undisclosed-origin label per rule 3 in the brief, not because it is actually a blended-type whiskey. peatProfile via general Irish-whiskey category fact.	sexton|the sexton	2	Sexton
shamrose	Shamrose	blend	IE					unknown			unverified	low		No web presence found this session.	shamrose	2	Shamrose
skrewball	Skrewball	blend	US					none			unverified	low	https://en.wikipedia.org/wiki/Irish_whiskey	Peanut-butter-flavoured American whiskey (California); an infused/flavoured product rather than a traditional distillery. Peat=none per general American-whiskey category norm; nothing suggests a peated base.	peanut butter|skrewball	2	Skrewball Peanut Butter
