john-barr	John Barr	blend	GB-SCT			Whyte & Mackay	blend	none			unverified	low	https://en.wikipedia.org/wiki/Whyte_%26_Mackay	Blended Scotch sold under Whyte & Mackay. No peat-specific source found; inferred unpeated from the company's typical portfolio character (Dalmore/Fettercairn/Jura are not notably smoky).	john barr	9	John Barr ; John Barr Finest Blend ; John Barr Reserve
sir-edwards	Sir Edward's	blend	GB-SCT			La Martiniquaise	blend	none			unverified	medium	https://www.siredwards.com/	Own site (fetched) confirms "Product of Scotland" / blended Scotch with a range of Finest, Smoky, Beer Reserve and Aged 12 Years. "Finest" (this batch's product, catalogued as "Sir Edwards Finests", a typo) is the base unpeated blend; see rule.tsv for the separately-named "Smoky" variant. Owner recorded from this project's brief-provided background (French-owned via La Martiniquaise) -- not independently re-confirmed by a fetched source this session (the homepage did not state an owner), so treat that one fact with some caution.	sir edwards|sir edwards finests	9	Sir Edwards Finest ; Sir Edwards Finests ; Sir Edwards Smoky
black-velvet	Black Velvet	distillery	CA			Heaven Hill		none			unverified	low	https://en.wikipedia.org/wiki/Black_Velvet_(whisky) https://globalnews.ca/news/6110640/black-velvet-canadian-whisky-lethbridge-new-ownership-november/	Canadian blended whisky, own distillery in Lethbridge AB; owned by Heaven Hill since 2019 (previously Constellation Brands). No explicit peat statement found; Canadian whisky has no peat tradition. defaultTypeName left empty - Canadian whisky has no clean match in the closed type list	black velvet	8	Black Velvet ; Black Velvet + Black Velvet Reserve + Black Velvet Toasted Caramel ; Black Velvet Reserve ; Black Velvet Toasted Caramel
coalition	Coalition	brand	US				rye	none	kentucky-artisan-distillery		unverified	low	https://www.coalitionwhiskey.com/ https://www.breakingbourbon.com/review/coalition-straight-rye-margaux-barriques-finish	100% Kentucky straight rye whiskey; wine-cask-finished expressions (Margaux/Pauillac/Sauternes Barriques) plus a Barrel Proof base release. Rye whiskey, no peat used.	coalition	8	Coalition Barrel Proof ; Coalition Margaux Barriques ; Coalition Pauillac Barriques ; Coalition Sauternes Barriques
fauconnier	Fauconnier	blend						unknown			unverified	unknown		No web presence found this session: Wikipedia search (multiple phrasings), Bing search, and domain probes (fauconnier.fr is unrelated, other guesses did not resolve) all came up empty. Samples 'O'Brian Fauconnier'/'Fauconnier Hunting Lodge'/'Fauconnier Highland's Friends' suggest an obscure own-label blend, but country/type/peat could not be confirmed -- left unknown rather than guessed. Flag for human review.	fauconnier|obrian fauconnier	8	Fauconnier Highland's Friends ; Fauconnier Hunting Lodge ; O'Brian Fauconnier
isle-of-skye	Isle of Skye	blend	GB-SCT			Ian Macleod Distillers	blend	unknown			unverified	low	https://en.wikipedia.org/wiki/Ian_Macleod_Distillers	Owned by Ian Macleod Distillers since 1963. Marketing ties it to Talisker/Skye heritage (one catalogue sample literally quotes the oldest distillery on the Isle of Skye), but no citable source confirms actual blend composition or peat intensity, left unknown per policy.	isle of skye	8	Ian Macleod Distillers Isle of Skye ; Isle of Skye ; Talisker From the Oldest Distillery on the Isle of Skye
old-perth	Old Perth	blend	GB-SCT				blend	none			unverified	low	https://en.wikipedia.org/wiki/Scotch_whisky	Blended malt Scotch brand; owner not verified this session (commonly attributed to Morrison Scotch Whisky Distillers but unconfirmed here). No indication of peat in samples (Original/Cask Strength/Double Sherry Wood).	old perth	7	Morrison&Mackay Old Perth Original ; Old Perth ; Old Perth Cask Strength ; Old Perth Double Sherry Wood ; Old Perth Original
sierra-norte	Sierra Norte	distillery	MX					none			unverified	low	https://mexiconewsdaily.com/food/oaxacan-whiskey-blends-mexican-culture-with-international-tradition/ https://www.sierranortewhiskey.com/	Oaxacan corn whiskey (85% corn / 15% malted barley), own distillery near Oaxaca city. No peat/smoke mentioned anywhere; defaultTypeName left empty - corn whiskey has no clean match in the closed type list	sierra norte	7	Sierra Norte Black Corn ; Sierra Norte Black Corn Single Barrel Mexican ; Sierra Norte Purple Corn ; Sierra Norte White Corn ; Sierra Norte White Corn Single Barrel Mexican ; Sierra Norte Yellow Corn
suntory	Suntory	blend	JP			Suntory Holdings		none			unverified	low	https://en.wikipedia.org/wiki/Hibiki_(whisky)	Umbrella brand name covering multiple distinct Suntory malts/grains/blends - Hakushu, Chita and Hibiki are modeled as separate rows since their facts differ. This generic row is a low-confidence fallback for catalogue rows tagged only "Suntory" (e.g. Toki, Ao) with no more specific in-name match; a handful of limited/special Suntory editions ARE peated (see hakushu note) so do not treat this as a guarantee.	suntory	7	Suntory AO ; Suntory Hakushu ; Suntory Hakushu Distiller's Reserve ; Suntory Hibiki Japanese Harmony ; Suntory Toki ; The Chita Suntory
togouchi	Togouchi	blend	JP			Sakurao Distillery (Chugoku Jozo)	blend	none			unverified	low	https://www.comptoir-irlandais.com/en/250-togouchi.htm https://www.masterofmalt.com/whiskies/chugoku-jozo/togouchi-premium-blended-japanese-whisky/	Malt/grain sourced from Canada and Scotland, aged/blended/bottled in Japan inside a disused railway tunnel near Hiroshima. Base range (standard/Kiwami/Premium) is not peated -- see rule.tsv for the separate 'Togouchi Peated' line.	togouchi	7	Togouchi ; Togouchi Kiwami ; Togouchi Peated ; Togouchi Premium ; Togouchi Sake Cask Finish
virginia-distillery-company	Virginia Distillery Company	distillery	US				single malt	none			unverified	low	https://vadistillery.com/	Official site (fetched this session): "The most awarded single malt whisky distillery in America", Blue Ridge Mountains, Virginia. No peat/smoke mention anywhere on the fetched page; American single malt without a stated peated line, so peatProfile=none rests on that absence plus general category convention rather than an explicit "unpeated" statement. "Courage & Conviction" is confirmed on the same page as a distinct in-house brand -- see that row (parentSlug points here).	virginia distillery company	7	Blue Ridge American Virginia Distillery Company ; Cabernet Cask American Virginia Distillery Company ; Cider Cask American Virginia Distillery Company ; Courage & Conviction Bourbon Cask Virginia Distillery Company ; Courage & Conviction Cuvee Cask Virginia Distillery Company ; Courage & Conviction Sherry Cask Virginia Distillery Company
white-horse	White Horse	blend	GB-SCT			Diageo	blend	light			unverified	low	https://theliquorbarn.com/products/white-horse-blended-scotch-750ml https://whiskyoftheweek.co.uk/white-horse-whisky/	Built around Lagavulin, with Caol Ila and Talisker also in the vatting, balanced by Speyside malt (Linkwood). Sources describe 'restrained smokiness' rather than a fully peated character despite the three peated malts, so recorded light rather than medium - flagging for reviewer given the pedigree of its component malts	white horse	7	White Horse ; White Horse Fine Old
widow-jane	Widow Jane	blend	US					none			unverified	low	https://www.widowjane.com/ https://en.wikipedia.org/wiki/Irish_whiskey	Brooklyn, NY brand; official site describes proofing/finishing sourced whiskey with Rosendale-mine limestone water rather than a full grain-to-bottle claim, so kept as kind=blend rather than distillery. Range spans bourbon and rye (defaultTypeName left empty). No peat mentioned; peat=none per general American-whiskey category norm (peat is rarely used outside Scotland, per the cited page).	widow jane	7	Widow Jane ; Widow Jane Apple Wood Rye ; Widow Jane Decadence ; Widow Jane Paradigm Rye ; Widow Jane Rye Mash American Oak Aged ; Widow Jane Rye Mash Oak & Apple Wood Aged
